Timestamp UNIX,Timestamp Local, X,Y, Left Pupil Diameter, Right Pupil Diameter, Left Eye Openness, Right Eye Openness, Gaze on Left, Gaze on Middle, Gaze on Right
'1731041623009,'2024-11-08 15:53:43.009,0,200,-1,-1,-1,-1,0,0,0
'1731041624070,'2024-11-08 15:53:44.070,0,200,-1,-1,-1,-1,0,0,0
'1731041624105,'2024-11-08 15:53:44.105,0,200,-1,-1,-1,-1,0,0,0
'1731041624124,'2024-11-08 15:53:44.124,0,200,-1,-1,-1,-1,0,0,0
'1731041624148,'2024-11-08 15:53:44.148,0,200,-1,-1,-1,-1,0,0,0
'1731041624165,'2024-11-08 15:53:44.165,0,200,-1,-1,-1,-1,0,0,0
'1731041624182,'2024-11-08 15:53:44.182,0,200,-1,-1,-1,-1,0,0,0
'1731041624199,'2024-11-08 15:53:44.199,0,200,-1,-1,-1,-1,0,0,0
'1731041624225,'2024-11-08 15:53:44.225,0,200,-1,-1,-1,-1,0,0,0
'1731041624234,'2024-11-08 15:53:44.234,0,200,-1,-1,-1,-1,0,0,0
'1731041624253,'2024-11-08 15:53:44.253,0,200,-1,-1,-1,-1,0,0,0
'1731041624272,'2024-11-08 15:53:44.272,0,200,-1,-1,-1,-1,0,0,0
'1731041624280,'2024-11-08 15:53:44.280,0,200,-1,-1,-1,-1,0,0,0
'1731041624298,'2024-11-08 15:53:44.298,0,200,-1,-1,-1,-1,0,0,0
'1731041624306,'2024-11-08 15:53:44.306,0,200,-1,-1,-1,-1,0,0,0
'1731041624331,'2024-11-08 15:53:44.331,0,200,-1,-1,-1,-1,0,0,0
'1731041624340,'2024-11-08 15:53:44.340,0,200,-1,-1,-1,-1,0,0,0
'1731041624365,'2024-11-08 15:53:44.365,0,200,-1,-1,-1,-1,0,0,0
'1731041624382,'2024-11-08 15:53:44.382,0,200,-1,-1,-1,-1,0,0,0
'1731041624391,'2024-11-08 15:53:44.391,0,200,-1,-1,-1,-1,0,0,0
'1731041624408,'2024-11-08 15:53:44.408,0,200,-1,-1,-1,-1,0,0,0
'1731041624425,'2024-11-08 15:53:44.425,0,200,-1,-1,-1,-1,0,0,0
'1731041624442,'2024-11-08 15:53:44.442,0,200,-1,-1,-1,-1,0,0,0
'1731041624451,'2024-11-08 15:53:44.451,0,200,-1,-1,-1,-1,0,0,0
'1731041624467,'2024-11-08 15:53:44.467,0,200,-1,-1,-1,-1,0,0,0
'1731041624597,'2024-11-08 15:53:44.597,0,200,-1,-1,-1,-1,0,0,0
'1731041624762,'2024-11-08 15:53:44.762,0,200,-1,-1,-1,-1,0,0,0
'1731041624787,'2024-11-08 15:53:44.787,0,200,-1,-1,-1,-1,0,0,0
'1731041624814,'2024-11-08 15:53:44.814,0,200,-1,-1,-1,-1,0,0,0
'1731041624823,'2024-11-08 15:53:44.823,0,200,-1,-1,-1,-1,0,0,0
'1731041624840,'2024-11-08 15:53:44.840,0,200,-1,-1,-1,-1,0,0,0
'1731041624848,'2024-11-08 15:53:44.848,0,200,-1,-1,-1,-1,0,0,0
'1731041624866,'2024-11-08 15:53:44.866,0,200,-1,-1,-1,-1,0,0,0
'1731041624883,'2024-11-08 15:53:44.883,0,200,-1,-1,-1,-1,0,0,0
'1731041624910,'2024-11-08 15:53:44.910,0,200,-1,-1,-1,-1,0,0,0
'1731041624918,'2024-11-08 15:53:44.918,0,200,-1,-1,-1,-1,0,0,0
'1731041624936,'2024-11-08 15:53:44.936,0,200,-1,-1,-1,-1,0,0,0
'1731041624945,'2024-11-08 15:53:44.945,0,200,-1,-1,-1,-1,0,0,0
'1731041624962,'2024-11-08 15:53:44.962,0,200,-1,-1,-1,-1,0,0,0
'1731041624979,'2024-11-08 15:53:44.979,0,200,-1,-1,-1,-1,0,0,0
'1731041624988,'2024-11-08 15:53:44.988,0,200,-1,-1,-1,-1,0,0,0
'1731041624997,'2024-11-08 15:53:44.997,0,200,-1,-1,-1,-1,0,0,0
'1731041625014,'2024-11-08 15:53:45.014,0,200,-1,-1,-1,-1,0,0,0
'1731041625031,'2024-11-08 15:53:45.031,0,200,-1,-1,-1,-1,0,0,0
'1731041625082,'2024-11-08 15:53:45.082,0,0,-1,-1,-1,-1,0,1,0
'1731041625099,'2024-11-08 15:53:45.099,0,0,-1,-1,-1,-1,0,1,0
'1731041625107,'2024-11-08 15:53:45.107,0,0,-1,-1,-1,-1,0,1,0
'1731041625116,'2024-11-08 15:53:45.116,0,0,-1,-1,-1,-1,0,1,0
'1731041625124,'2024-11-08 15:53:45.124,0,0,-1,-1,-1,-1,0,1,0
'1731041625148,'2024-11-08 15:53:45.148,0,200,-1,-1,-1,-1,0,0,0
'1731041625165,'2024-11-08 15:53:45.165,0,200,-1,-1,-1,-1,0,0,0
'1731041625173,'2024-11-08 15:53:45.173,0,200,-1,-1,-1,-1,0,0,0
'1731041625183,'2024-11-08 15:53:45.183,0,200,-1,-1,-1,-1,0,0,0
'1731041625200,'2024-11-08 15:53:45.200,0,200,-1,-1,-1,-1,0,0,0
'1731041625226,'2024-11-08 15:53:45.226,0,200,-1,-1,-1,-1,0,0,0
'1731041625242,'2024-11-08 15:53:45.242,0,200,-1,-1,-1,-1,0,0,0
'1731041625252,'2024-11-08 15:53:45.252,0,200,-1,-1,-1,-1,0,0,0
'1731041625261,'2024-11-08 15:53:45.261,0,200,-1,-1,-1,-1,0,0,0
'1731041625278,'2024-11-08 15:53:45.278,0,200,-1,-1,-1,-1,0,0,0
'1731041625287,'2024-11-08 15:53:45.287,0,200,-1,-1,-1,-1,0,0,0
'1731041625305,'2024-11-08 15:53:45.305,0,200,-1,-1,-1,-1,0,0,0
'1731041625313,'2024-11-08 15:53:45.313,0,200,-1,-1,-1,-1,0,0,0
'1731041625321,'2024-11-08 15:53:45.321,0,200,-1,-1,-1,-1,0,0,0
'1731041625338,'2024-11-08 15:53:45.338,0,200,-1,-1,-1,-1,0,0,0
'1731041625347,'2024-11-08 15:53:45.347,0,200,-1,-1,-1,-1,0,0,0
'1731041625363,'2024-11-08 15:53:45.363,0,200,-1,-1,-1,-1,0,0,0
'1731041625372,'2024-11-08 15:53:45.372,0,200,-1,-1,-1,-1,0,0,0
'1731041625390,'2024-11-08 15:53:45.390,0,200,-1,-1,-1,-1,0,0,0
'1731041625400,'2024-11-08 15:53:45.400,0,200,-1,-1,-1,-1,0,0,0
'1731041625408,'2024-11-08 15:53:45.408,0,200,-1,-1,-1,-1,0,0,0
'1731041625417,'2024-11-08 15:53:45.417,0,200,-1,-1,-1,-1,0,0,0
'1731041625450,'2024-11-08 15:53:45.450,0,200,-1,-1,-1,-1,0,0,0
'1731041625485,'2024-11-08 15:53:45.485,0,200,-1,-1,-1,-1,0,0,0
'1731041625494,'2024-11-08 15:53:45.494,0,200,-1,-1,-1,-1,0,0,0
'1731041625502,'2024-11-08 15:53:45.502,0,200,-1,-1,-1,-1,0,0,0
'1731041625511,'2024-11-08 15:53:45.511,0,200,-1,-1,-1,-1,0,0,0
'1731041625538,'2024-11-08 15:53:45.538,0,200,-1,-1,-1,-1,0,0,0
'1731041625546,'2024-11-08 15:53:45.546,0,200,-1,-1,-1,-1,0,0,0
'1731041625555,'2024-11-08 15:53:45.555,0,200,-1,-1,-1,-1,0,0,0
'1731041625572,'2024-11-08 15:53:45.572,0,200,-1,-1,-1,-1,0,0,0
'1731041625580,'2024-11-08 15:53:45.580,0,200,-1,-1,-1,-1,0,0,0
'1731041625588,'2024-11-08 15:53:45.588,0,200,-1,-1,-1,-1,0,0,0
'1731041625622,'2024-11-08 15:53:45.622,0,200,-1,-1,-1,-1,0,0,0
'1731041625630,'2024-11-08 15:53:45.630,0,200,-1,-1,-1,-1,0,0,0
'1731041625639,'2024-11-08 15:53:45.639,0,200,-1,-1,-1,-1,0,0,0
'1731041625647,'2024-11-08 15:53:45.647,0,200,-1,-1,-1,-1,0,0,0
'1731041625665,'2024-11-08 15:53:45.665,0,200,-1,-1,-1,-1,0,0,0
'1731041625673,'2024-11-08 15:53:45.673,0,200,-1,-1,-1,-1,0,0,0
'1731041625690,'2024-11-08 15:53:45.690,0,200,-1,-1,-1,-1,0,0,0
'1731041625698,'2024-11-08 15:53:45.698,0,200,-1,-1,-1,-1,0,0,0
'1731041625707,'2024-11-08 15:53:45.707,0,200,-1,-1,-1,-1,0,0,0
'1731041625715,'2024-11-08 15:53:45.715,0,200,-1,-1,-1,-1,0,0,0
