Timestamp UNIX,Timestamp Unity, X,Y, Left, Middle, Right
1712487277836,2024-04-07 10:54:37.836,768,341.5,0,1,0
1712487278751,2024-04-07 10:54:38.751,768,341.5,0,1,0
1712487278803,2024-04-07 10:54:38.803,768,341.5,0,1,0
1712487278811,2024-04-07 10:54:38.811,768,341.5,0,1,0
1712487278820,2024-04-07 10:54:38.820,768,341.5,0,1,0
1712487278847,2024-04-07 10:54:38.847,768,341.5,0,1,0
1712487278863,2024-04-07 10:54:38.863,768,341.5,0,1,0
1712487278873,2024-04-07 10:54:38.873,768,341.5,0,1,0
1712487278890,2024-04-07 10:54:38.890,768,341.5,0,1,0
1712487278907,2024-04-07 10:54:38.907,768,341.5,0,1,0
1712487278924,2024-04-07 10:54:38.924,768,341.5,0,1,0
1712487278941,2024-04-07 10:54:38.941,768,341.5,0,1,0
1712487278959,2024-04-07 10:54:38.959,768,341.5,0,1,0
1712487278967,2024-04-07 10:54:38.967,768,341.5,0,1,0
1712487278984,2024-04-07 10:54:38.984,768,341.5,0,1,0
1712487279001,2024-04-07 10:54:39.001,768,341.5,0,1,0
1712487279019,2024-04-07 10:54:39.019,768,341.5,0,1,0
1712487279037,2024-04-07 10:54:39.037,768,341.5,0,1,0
1712487279054,2024-04-07 10:54:39.054,768,341.5,0,1,0
1712487279080,2024-04-07 10:54:39.080,768,341.5,0,1,0
1712487279097,2024-04-07 10:54:39.097,768,341.5,0,1,0
1712487279114,2024-04-07 10:54:39.114,768,341.5,0,1,0
1712487279141,2024-04-07 10:54:39.141,768,341.5,0,1,0
1712487279158,2024-04-07 10:54:39.158,768,341.5,0,1,0
1712487279184,2024-04-07 10:54:39.184,768,341.5,0,1,0
1712487279202,2024-04-07 10:54:39.202,768,341.5,0,1,0
1712487279219,2024-04-07 10:54:39.219,768,341.5,0,1,0
1712487279236,2024-04-07 10:54:39.236,768,341.5,0,1,0
1712487279254,2024-04-07 10:54:39.254,768,341.5,0,1,0
1712487279271,2024-04-07 10:54:39.271,768,341.5,0,1,0
1712487279288,2024-04-07 10:54:39.288,768,341.5,0,1,0
1712487279306,2024-04-07 10:54:39.306,768,341.5,0,1,0
1712487279323,2024-04-07 10:54:39.323,768,341.5,0,1,0
1712487279348,2024-04-07 10:54:39.348,768,341.5,0,1,0
1712487279366,2024-04-07 10:54:39.366,768,341.5,0,1,0
1712487279383,2024-04-07 10:54:39.383,768,341.5,0,1,0
1712487279409,2024-04-07 10:54:39.409,768,341.5,0,1,0
1712487279418,2024-04-07 10:54:39.418,768,341.5,0,1,0
1712487279434,2024-04-07 10:54:39.434,768,341.5,0,1,0
1712487279451,2024-04-07 10:54:39.451,768,341.5,0,1,0
1712487279459,2024-04-07 10:54:39.459,768,341.5,0,1,0
1712487279494,2024-04-07 10:54:39.494,768,341.5,0,1,0
1712487279503,2024-04-07 10:54:39.503,768,341.5,0,1,0
1712487279520,2024-04-07 10:54:39.520,768,341.5,0,1,0
1712487279529,2024-04-07 10:54:39.529,768,341.5,0,1,0
1712487279546,2024-04-07 10:54:39.546,768,341.5,0,1,0
1712487279563,2024-04-07 10:54:39.563,768,341.5,0,1,0
1712487279580,2024-04-07 10:54:39.580,768,341.5,0,1,0
1712487279596,2024-04-07 10:54:39.596,768,341.5,0,1,0
1712487279614,2024-04-07 10:54:39.614,768,341.5,0,1,0
1712487279631,2024-04-07 10:54:39.631,768,341.5,0,1,0
1712487279647,2024-04-07 10:54:39.647,768,341.5,0,1,0
1712487279716,2024-04-07 10:54:39.716,768,341.5,0,1,0
1712487279733,2024-04-07 10:54:39.733,768,341.5,0,1,0
1712487279742,2024-04-07 10:54:39.742,768,341.5,0,1,0
1712487279769,2024-04-07 10:54:39.769,768,341.5,0,1,0
1712487279796,2024-04-07 10:54:39.796,768,341.5,0,1,0
1712487279813,2024-04-07 10:54:39.813,768,341.5,0,1,0
1712487279831,2024-04-07 10:54:39.831,768,341.5,0,1,0
1712487279857,2024-04-07 10:54:39.857,768,341.5,0,1,0
1712487279873,2024-04-07 10:54:39.873,768,341.5,0,1,0
1712487279882,2024-04-07 10:54:39.882,768,341.5,0,1,0
1712487279900,2024-04-07 10:54:39.900,768,341.5,0,1,0
1712487279918,2024-04-07 10:54:39.918,768,341.5,0,1,0
1712487279936,2024-04-07 10:54:39.936,768,341.5,0,1,0
1712487279953,2024-04-07 10:54:39.953,768,341.5,0,1,0
1712487279961,2024-04-07 10:54:39.961,768,341.5,0,1,0
1712487279986,2024-04-07 10:54:39.986,768,341.5,0,1,0
1712487280012,2024-04-07 10:54:40.012,768,341.5,0,1,0
1712487280029,2024-04-07 10:54:40.029,768,341.5,0,1,0
1712487280046,2024-04-07 10:54:40.046,768,341.5,0,1,0
1712487280072,2024-04-07 10:54:40.072,768,341.5,0,1,0
1712487280090,2024-04-07 10:54:40.090,768,341.5,0,1,0
1712487280107,2024-04-07 10:54:40.107,768,341.5,0,1,0
1712487280116,2024-04-07 10:54:40.116,768,341.5,0,1,0
1712487280134,2024-04-07 10:54:40.134,768,341.5,0,1,0
1712487280151,2024-04-07 10:54:40.151,768,341.5,0,1,0
1712487280168,2024-04-07 10:54:40.168,768,341.5,0,1,0
1712487280202,2024-04-07 10:54:40.202,768,341.5,0,1,0
1712487280219,2024-04-07 10:54:40.219,768,341.5,0,1,0
1712487280228,2024-04-07 10:54:40.228,768,341.5,0,1,0
1712487280245,2024-04-07 10:54:40.245,768,341.5,0,1,0
1712487280262,2024-04-07 10:54:40.262,768,341.5,0,1,0
1712487280279,2024-04-07 10:54:40.279,768,341.5,0,1,0
1712487280297,2024-04-07 10:54:40.297,768,341.5,0,1,0
1712487280322,2024-04-07 10:54:40.322,768,341.5,0,1,0
1712487280339,2024-04-07 10:54:40.339,768,341.5,0,1,0
1712487280364,2024-04-07 10:54:40.364,768,341.5,0,1,0
1712487280382,2024-04-07 10:54:40.382,768,341.5,0,1,0
1712487280391,2024-04-07 10:54:40.391,768,341.5,0,1,0
1712487280408,2024-04-07 10:54:40.408,768,341.5,0,1,0
1712487280425,2024-04-07 10:54:40.425,768,341.5,0,1,0
1712487280443,2024-04-07 10:54:40.443,768,341.5,0,1,0
1712487280461,2024-04-07 10:54:40.461,768,341.5,0,1,0
1712487280478,2024-04-07 10:54:40.478,768,341.5,0,1,0
1712487280614,2024-04-07 10:54:40.614,768,341.5,0,1,0
1712487280787,2024-04-07 10:54:40.787,768,341.5,0,1,0
1712487280804,2024-04-07 10:54:40.804,768,341.5,0,1,0
1712487280813,2024-04-07 10:54:40.813,768,341.5,0,1,0
1712487280830,2024-04-07 10:54:40.830,768,341.5,0,1,0
1712487280839,2024-04-07 10:54:40.839,768,341.5,0,1,0
1712487280856,2024-04-07 10:54:40.856,768,341.5,0,1,0
1712487280873,2024-04-07 10:54:40.873,768,341.5,0,1,0
1712487280892,2024-04-07 10:54:40.892,768,341.5,0,1,0
1712487280909,2024-04-07 10:54:40.909,768,341.5,0,1,0
1712487280918,2024-04-07 10:54:40.918,768,341.5,0,1,0
1712487280935,2024-04-07 10:54:40.935,768,341.5,0,1,0
1712487280952,2024-04-07 10:54:40.952,768,341.5,0,1,0
1712487280969,2024-04-07 10:54:40.969,768,341.5,0,1,0
1712487280986,2024-04-07 10:54:40.986,768,341.5,0,1,0
1712487281004,2024-04-07 10:54:41.004,768,341.5,0,1,0
1712487281013,2024-04-07 10:54:41.013,768,341.5,0,1,0
1712487281031,2024-04-07 10:54:41.031,768,341.5,0,1,0
1712487281047,2024-04-07 10:54:41.047,768,341.5,0,1,0
1712487281064,2024-04-07 10:54:41.064,768,341.5,0,1,0
1712487281081,2024-04-07 10:54:41.081,768,341.5,0,1,0
1712487281099,2024-04-07 10:54:41.099,768,341.5,0,1,0
1712487281125,2024-04-07 10:54:41.125,768,341.5,0,1,0
1712487281143,2024-04-07 10:54:41.143,768,341.5,0,1,0
1712487281160,2024-04-07 10:54:41.160,768,341.5,0,1,0
1712487281169,2024-04-07 10:54:41.169,768,341.5,0,1,0
1712487281186,2024-04-07 10:54:41.186,768,341.5,0,1,0
1712487281202,2024-04-07 10:54:41.202,768,341.5,0,1,0
1712487281219,2024-04-07 10:54:41.219,768,341.5,0,1,0
1712487281235,2024-04-07 10:54:41.235,768,341.5,0,1,0
1712487281252,2024-04-07 10:54:41.252,768,341.5,0,1,0
1712487281270,2024-04-07 10:54:41.270,768,341.5,0,1,0
1712487281288,2024-04-07 10:54:41.288,768,341.5,0,1,0
