Timestamp UNIX,Timestamp Local, X,Y, Left Pupil Diameter, Right Pupil Diameter, Left Eye Openness, Right Eye Openness, Gaze on Left, Gaze on Middle, Gaze on Right
'1731039946659,'2024-11-08 15:25:46.659,0,200,-1,-1,-1,-1,0,0,0
'1731039947692,'2024-11-08 15:25:47.692,0,200,-1,-1,-1,-1,0,0,0
'1731039947769,'2024-11-08 15:25:47.769,0,200,-1,-1,-1,-1,0,0,0
'1731039947812,'2024-11-08 15:25:47.812,0,200,-1,-1,-1,-1,0,0,0
'1731039947820,'2024-11-08 15:25:47.820,0,200,-1,-1,-1,-1,0,0,0
'1731039947837,'2024-11-08 15:25:47.837,0,200,-1,-1,-1,-1,0,0,0
'1731039947854,'2024-11-08 15:25:47.854,0,200,-1,-1,-1,-1,0,0,0
'1731039947873,'2024-11-08 15:25:47.873,0,200,-1,-1,-1,-1,0,0,0
'1731039947882,'2024-11-08 15:25:47.882,0,200,-1,-1,-1,-1,0,0,0
'1731039947899,'2024-11-08 15:25:47.899,0,200,-1,-1,-1,-1,0,0,0
'1731039947916,'2024-11-08 15:25:47.916,0,200,-1,-1,-1,-1,0,0,0
'1731039947932,'2024-11-08 15:25:47.932,0,200,-1,-1,-1,-1,0,0,0
'1731039947941,'2024-11-08 15:25:47.941,0,200,-1,-1,-1,-1,0,0,0
'1731039947958,'2024-11-08 15:25:47.958,0,200,-1,-1,-1,-1,0,0,0
'1731039947975,'2024-11-08 15:25:47.975,0,200,-1,-1,-1,-1,0,0,0
'1731039947991,'2024-11-08 15:25:47.991,0,200,-1,-1,-1,-1,0,0,0
'1731039947999,'2024-11-08 15:25:47.999,0,200,-1,-1,-1,-1,0,0,0
'1731039948016,'2024-11-08 15:25:48.016,0,200,-1,-1,-1,-1,0,0,0
'1731039948034,'2024-11-08 15:25:48.034,0,200,-1,-1,-1,-1,0,0,0
'1731039948042,'2024-11-08 15:25:48.042,0,200,-1,-1,-1,-1,0,0,0
'1731039948059,'2024-11-08 15:25:48.059,0,200,-1,-1,-1,-1,0,0,0
'1731039948068,'2024-11-08 15:25:48.068,0,200,-1,-1,-1,-1,0,0,0
'1731039948085,'2024-11-08 15:25:48.085,0,200,-1,-1,-1,-1,0,0,0
'1731039948101,'2024-11-08 15:25:48.101,0,200,-1,-1,-1,-1,0,0,0
'1731039948118,'2024-11-08 15:25:48.118,0,200,-1,-1,-1,-1,0,0,0
'1731039948126,'2024-11-08 15:25:48.126,0,200,-1,-1,-1,-1,0,0,0
'1731039948152,'2024-11-08 15:25:48.152,0,200,-1,-1,-1,-1,0,0,0
'1731039948160,'2024-11-08 15:25:48.160,0,200,-1,-1,-1,-1,0,0,0
'1731039948177,'2024-11-08 15:25:48.177,0,200,-1,-1,-1,-1,0,0,0
'1731039948194,'2024-11-08 15:25:48.194,0,200,-1,-1,-1,-1,0,0,0
'1731039948211,'2024-11-08 15:25:48.211,0,200,-1,-1,-1,-1,0,0,0
'1731039948220,'2024-11-08 15:25:48.220,0,200,-1,-1,-1,-1,0,0,0
'1731039948237,'2024-11-08 15:25:48.237,0,200,-1,-1,-1,-1,0,0,0
'1731039948246,'2024-11-08 15:25:48.246,0,200,-1,-1,-1,-1,0,0,0
'1731039948254,'2024-11-08 15:25:48.254,0,200,-1,-1,-1,-1,0,0,0
'1731039948264,'2024-11-08 15:25:48.264,0,200,-1,-1,-1,-1,0,0,0
'1731039948280,'2024-11-08 15:25:48.280,0,200,-1,-1,-1,-1,0,0,0
'1731039948289,'2024-11-08 15:25:48.289,0,200,-1,-1,-1,-1,0,0,0
'1731039948298,'2024-11-08 15:25:48.298,0,200,-1,-1,-1,-1,0,0,0
'1731039948307,'2024-11-08 15:25:48.307,0,200,-1,-1,-1,-1,0,0,0
'1731039948315,'2024-11-08 15:25:48.315,0,200,-1,-1,-1,-1,0,0,0
'1731039948323,'2024-11-08 15:25:48.323,0,200,-1,-1,-1,-1,0,0,0
'1731039948332,'2024-11-08 15:25:48.332,0,200,-1,-1,-1,-1,0,0,0
'1731039948349,'2024-11-08 15:25:48.349,0,200,-1,-1,-1,-1,0,0,0
'1731039948357,'2024-11-08 15:25:48.357,0,200,-1,-1,-1,-1,0,0,0
'1731039948366,'2024-11-08 15:25:48.366,0,200,-1,-1,-1,-1,0,0,0
'1731039948375,'2024-11-08 15:25:48.375,0,200,-1,-1,-1,-1,0,0,0
'1731039948384,'2024-11-08 15:25:48.384,0,200,-1,-1,-1,-1,0,0,0
'1731039948402,'2024-11-08 15:25:48.402,0,200,-1,-1,-1,-1,0,0,0
'1731039948410,'2024-11-08 15:25:48.410,0,200,-1,-1,-1,-1,0,0,0
'1731039948418,'2024-11-08 15:25:48.418,0,200,-1,-1,-1,-1,0,0,0
'1731039948434,'2024-11-08 15:25:48.434,0,200,-1,-1,-1,-1,0,0,0
'1731039948443,'2024-11-08 15:25:48.443,0,200,-1,-1,-1,-1,0,0,0
'1731039948460,'2024-11-08 15:25:48.460,0,200,-1,-1,-1,-1,0,0,0
'1731039948469,'2024-11-08 15:25:48.469,0,200,-1,-1,-1,-1,0,0,0
'1731039948487,'2024-11-08 15:25:48.487,0,200,-1,-1,-1,-1,0,0,0
'1731039948496,'2024-11-08 15:25:48.496,0,200,-1,-1,-1,-1,0,0,0
'1731039948505,'2024-11-08 15:25:48.505,0,200,-1,-1,-1,-1,0,0,0
'1731039948515,'2024-11-08 15:25:48.515,0,200,-1,-1,-1,-1,0,0,0
'1731039948532,'2024-11-08 15:25:48.532,0,200,-1,-1,-1,-1,0,0,0
'1731039948540,'2024-11-08 15:25:48.540,0,200,-1,-1,-1,-1,0,0,0
'1731039948549,'2024-11-08 15:25:48.549,0,200,-1,-1,-1,-1,0,0,0
'1731039948558,'2024-11-08 15:25:48.558,0,200,-1,-1,-1,-1,0,0,0
'1731039948575,'2024-11-08 15:25:48.575,0,200,-1,-1,-1,-1,0,0,0
'1731039948584,'2024-11-08 15:25:48.584,0,200,-1,-1,-1,-1,0,0,0
'1731039948592,'2024-11-08 15:25:48.592,0,200,-1,-1,-1,-1,0,0,0
'1731039948609,'2024-11-08 15:25:48.609,0,200,-1,-1,-1,-1,0,0,0
'1731039948618,'2024-11-08 15:25:48.618,0,200,-1,-1,-1,-1,0,0,0
'1731039948626,'2024-11-08 15:25:48.626,0,200,-1,-1,-1,-1,0,0,0
'1731039948645,'2024-11-08 15:25:48.645,0,200,-1,-1,-1,-1,0,0,0
'1731039948662,'2024-11-08 15:25:48.662,0,200,-1,-1,-1,-1,0,0,0
'1731039948671,'2024-11-08 15:25:48.671,0,200,-1,-1,-1,-1,0,0,0
'1731039948679,'2024-11-08 15:25:48.679,0,200,-1,-1,-1,-1,0,0,0
'1731039948697,'2024-11-08 15:25:48.697,0,200,-1,-1,-1,-1,0,0,0
'1731039948706,'2024-11-08 15:25:48.706,0,200,-1,-1,-1,-1,0,0,0
'1731039948715,'2024-11-08 15:25:48.715,0,200,-1,-1,-1,-1,0,0,0
'1731039948724,'2024-11-08 15:25:48.724,0,200,-1,-1,-1,-1,0,0,0
'1731039948734,'2024-11-08 15:25:48.734,0,200,-1,-1,-1,-1,0,0,0
'1731039948743,'2024-11-08 15:25:48.743,0,200,-1,-1,-1,-1,0,0,0
'1731039948759,'2024-11-08 15:25:48.759,0,200,-1,-1,-1,-1,0,0,0
'1731039948768,'2024-11-08 15:25:48.768,0,200,-1,-1,-1,-1,0,0,0
'1731039948785,'2024-11-08 15:25:48.785,0,200,-1,-1,-1,-1,0,0,0
'1731039948794,'2024-11-08 15:25:48.794,0,200,-1,-1,-1,-1,0,0,0
'1731039948802,'2024-11-08 15:25:48.802,0,200,-1,-1,-1,-1,0,0,0
'1731039948819,'2024-11-08 15:25:48.819,0,200,-1,-1,-1,-1,0,0,0
'1731039948837,'2024-11-08 15:25:48.837,0,200,-1,-1,-1,-1,0,0,0
'1731039948845,'2024-11-08 15:25:48.845,0,200,-1,-1,-1,-1,0,0,0
'1731039948864,'2024-11-08 15:25:48.864,0,200,-1,-1,-1,-1,0,0,0
'1731039948872,'2024-11-08 15:25:48.872,0,200,-1,-1,-1,-1,0,0,0
'1731039948880,'2024-11-08 15:25:48.880,0,200,-1,-1,-1,-1,0,0,0
'1731039948889,'2024-11-08 15:25:48.889,0,200,-1,-1,-1,-1,0,0,0
'1731039948907,'2024-11-08 15:25:48.907,0,200,-1,-1,-1,-1,0,0,0
'1731039948916,'2024-11-08 15:25:48.916,0,200,-1,-1,-1,-1,0,0,0
'1731039948933,'2024-11-08 15:25:48.933,0,200,-1,-1,-1,-1,0,0,0
'1731039948941,'2024-11-08 15:25:48.941,0,200,-1,-1,-1,-1,0,0,0
'1731039948958,'2024-11-08 15:25:48.958,0,200,-1,-1,-1,-1,0,0,0
'1731039948967,'2024-11-08 15:25:48.967,0,200,-1,-1,-1,-1,0,0,0
'1731039948983,'2024-11-08 15:25:48.983,0,200,-1,-1,-1,-1,0,0,0
'1731039948993,'2024-11-08 15:25:48.993,0,200,-1,-1,-1,-1,0,0,0
'1731039949001,'2024-11-08 15:25:49.001,0,200,-1,-1,-1,-1,0,0,0
'1731039949017,'2024-11-08 15:25:49.017,0,200,-1,-1,-1,-1,0,0,0
'1731039949026,'2024-11-08 15:25:49.026,0,200,-1,-1,-1,-1,0,0,0
'1731039949043,'2024-11-08 15:25:49.043,0,200,-1,-1,-1,-1,0,0,0
'1731039949059,'2024-11-08 15:25:49.059,0,200,-1,-1,-1,-1,0,0,0
'1731039949077,'2024-11-08 15:25:49.077,0,200,-1,-1,-1,-1,0,0,0
'1731039949087,'2024-11-08 15:25:49.087,0,200,-1,-1,-1,-1,0,0,0
'1731039949104,'2024-11-08 15:25:49.104,0,200,-1,-1,-1,-1,0,0,0
'1731039949112,'2024-11-08 15:25:49.112,0,200,-1,-1,-1,-1,0,0,0
'1731039949129,'2024-11-08 15:25:49.129,0,200,-1,-1,-1,-1,0,0,0
'1731039949138,'2024-11-08 15:25:49.138,0,200,-1,-1,-1,-1,0,0,0
'1731039949155,'2024-11-08 15:25:49.155,0,200,-1,-1,-1,-1,0,0,0
'1731039949163,'2024-11-08 15:25:49.163,0,200,-1,-1,-1,-1,0,0,0
'1731039949172,'2024-11-08 15:25:49.172,0,200,-1,-1,-1,-1,0,0,0
'1731039949181,'2024-11-08 15:25:49.181,0,200,-1,-1,-1,-1,0,0,0
'1731039949189,'2024-11-08 15:25:49.189,0,200,-1,-1,-1,-1,0,0,0
'1731039949206,'2024-11-08 15:25:49.206,0,200,-1,-1,-1,-1,0,0,0
'1731039949214,'2024-11-08 15:25:49.214,0,200,-1,-1,-1,-1,0,0,0
'1731039949223,'2024-11-08 15:25:49.223,0,200,-1,-1,-1,-1,0,0,0
'1731039949240,'2024-11-08 15:25:49.240,0,200,-1,-1,-1,-1,0,0,0
'1731039949249,'2024-11-08 15:25:49.249,0,200,-1,-1,-1,-1,0,0,0
'1731039949257,'2024-11-08 15:25:49.257,0,200,-1,-1,-1,-1,0,0,0
'1731039949275,'2024-11-08 15:25:49.275,0,200,-1,-1,-1,-1,0,0,0
'1731039949284,'2024-11-08 15:25:49.284,0,200,-1,-1,-1,-1,0,0,0
