Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1713070992804,'2024-04-14 15:03:12.804,760,333.5,0,1,0
'1713070993711,'2024-04-14 15:03:13.711,760,333.5,0,1,0
'1713070993777,'2024-04-14 15:03:13.777,760,333.5,0,1,0
'1713070993794,'2024-04-14 15:03:13.794,760,333.5,0,1,0
'1713070993802,'2024-04-14 15:03:13.802,760,333.5,0,1,0
'1713070993828,'2024-04-14 15:03:13.828,760,333.5,0,1,0
'1713070993853,'2024-04-14 15:03:13.853,760,333.5,0,1,0
'1713070993879,'2024-04-14 15:03:13.879,760,333.5,0,1,0
'1713070993914,'2024-04-14 15:03:13.914,760,333.5,0,1,0
'1713070993931,'2024-04-14 15:03:13.931,760,333.5,0,1,0
'1713070993956,'2024-04-14 15:03:13.956,760,333.5,0,1,0
'1713070993974,'2024-04-14 15:03:13.974,760,333.5,0,1,0
'1713070994009,'2024-04-14 15:03:14.009,760,333.5,0,1,0
'1713070994026,'2024-04-14 15:03:14.026,760,333.5,0,1,0
'1713070994051,'2024-04-14 15:03:14.051,760,333.5,0,1,0
'1713070994085,'2024-04-14 15:03:14.085,760,333.5,0,1,0
'1713070994110,'2024-04-14 15:03:14.110,760,333.5,0,1,0
'1713070994128,'2024-04-14 15:03:14.128,760,333.5,0,1,0
'1713070994153,'2024-04-14 15:03:14.153,760,333.5,0,1,0
'1713070994186,'2024-04-14 15:03:14.186,760,333.5,0,1,0
'1713070994203,'2024-04-14 15:03:14.203,760,333.5,0,1,0
'1713070994228,'2024-04-14 15:03:14.228,760,333.5,0,1,0
'1713070994246,'2024-04-14 15:03:14.246,760,333.5,0,1,0
'1713070994286,'2024-04-14 15:03:14.286,760,333.5,0,1,0
'1713070994303,'2024-04-14 15:03:14.303,760,333.5,0,1,0
'1713070994329,'2024-04-14 15:03:14.329,760,333.5,0,1,0
'1713070994354,'2024-04-14 15:03:14.354,760,333.5,0,1,0
'1713070994372,'2024-04-14 15:03:14.372,760,333.5,0,1,0
'1713070994388,'2024-04-14 15:03:14.388,760,333.5,0,1,0
'1713070994413,'2024-04-14 15:03:14.413,760,333.5,0,1,0
'1713070994431,'2024-04-14 15:03:14.431,760,333.5,0,1,0
'1713070994449,'2024-04-14 15:03:14.449,760,333.5,0,1,0
'1713070994467,'2024-04-14 15:03:14.467,760,333.5,0,1,0
'1713070994483,'2024-04-14 15:03:14.483,760,333.5,0,1,0
'1713070994526,'2024-04-14 15:03:14.526,760,333.5,0,1,0
'1713070994602,'2024-04-14 15:03:14.602,760,333.5,0,1,0
'1713070994628,'2024-04-14 15:03:14.628,760,333.5,0,1,0
'1713070994645,'2024-04-14 15:03:14.645,760,333.5,0,1,0
'1713070994670,'2024-04-14 15:03:14.670,760,333.5,0,1,0
'1713070994687,'2024-04-14 15:03:14.687,760,333.5,0,1,0
'1713070994704,'2024-04-14 15:03:14.704,760,333.5,0,1,0
'1713070994712,'2024-04-14 15:03:14.712,760,333.5,0,1,0
'1713070994721,'2024-04-14 15:03:14.721,760,333.5,0,1,0
'1713070994739,'2024-04-14 15:03:14.739,760,333.5,0,1,0
'1713070994756,'2024-04-14 15:03:14.756,760,333.5,0,1,0
'1713070994775,'2024-04-14 15:03:14.775,760,333.5,0,1,0
'1713070994792,'2024-04-14 15:03:14.792,760,333.5,0,1,0
'1713070994810,'2024-04-14 15:03:14.810,760,333.5,0,1,0
'1713070994827,'2024-04-14 15:03:14.827,760,333.5,0,1,0
'1713070994835,'2024-04-14 15:03:14.835,760,333.5,0,1,0
'1713070994852,'2024-04-14 15:03:14.852,760,333.5,0,1,0
'1713070994869,'2024-04-14 15:03:14.869,760,333.5,0,1,0
'1713070994877,'2024-04-14 15:03:14.877,760,333.5,0,1,0
'1713070994894,'2024-04-14 15:03:14.894,760,333.5,0,1,0
'1713070994903,'2024-04-14 15:03:14.903,760,333.5,0,1,0
'1713070994920,'2024-04-14 15:03:14.920,760,333.5,0,1,0
'1713070994937,'2024-04-14 15:03:14.937,760,333.5,0,1,0
'1713070994946,'2024-04-14 15:03:14.946,760,333.5,0,1,0
'1713070994972,'2024-04-14 15:03:14.972,760,333.5,0,1,0
'1713070994989,'2024-04-14 15:03:14.989,760,333.5,0,1,0
'1713070995006,'2024-04-14 15:03:15.006,760,333.5,0,1,0
'1713070995041,'2024-04-14 15:03:15.041,760,333.5,0,1,0
'1713070995067,'2024-04-14 15:03:15.067,760,333.5,0,1,0
'1713070995101,'2024-04-14 15:03:15.101,760,333.5,0,1,0
'1713070995118,'2024-04-14 15:03:15.118,760,333.5,0,1,0
'1713070995136,'2024-04-14 15:03:15.136,760,333.5,0,1,0
'1713070995163,'2024-04-14 15:03:15.163,760,333.5,0,1,0
'1713070995188,'2024-04-14 15:03:15.188,760,333.5,0,1,0
'1713070995196,'2024-04-14 15:03:15.196,760,333.5,0,1,0
'1713070995221,'2024-04-14 15:03:15.221,760,333.5,0,1,0
'1713070995246,'2024-04-14 15:03:15.246,760,333.5,0,1,0
'1713070995262,'2024-04-14 15:03:15.262,760,333.5,0,1,0
'1713070995288,'2024-04-14 15:03:15.288,760,333.5,0,1,0
'1713070995305,'2024-04-14 15:03:15.305,760,333.5,0,1,0
'1713070995330,'2024-04-14 15:03:15.330,760,333.5,0,1,0
'1713070995346,'2024-04-14 15:03:15.346,760,333.5,0,1,0
'1713070995372,'2024-04-14 15:03:15.372,760,333.5,0,1,0
'1713070995389,'2024-04-14 15:03:15.389,760,333.5,0,1,0
'1713070995414,'2024-04-14 15:03:15.414,760,333.5,0,1,0
'1713070995440,'2024-04-14 15:03:15.440,760,333.5,0,1,0
'1713070995465,'2024-04-14 15:03:15.465,760,333.5,0,1,0
'1713070995483,'2024-04-14 15:03:15.483,760,333.5,0,1,0
'1713070995518,'2024-04-14 15:03:15.518,760,333.5,0,1,0
'1713070995535,'2024-04-14 15:03:15.535,760,333.5,0,1,0
'1713070995561,'2024-04-14 15:03:15.561,760,333.5,0,1,0
'1713070995578,'2024-04-14 15:03:15.578,760,333.5,0,1,0
'1713070995622,'2024-04-14 15:03:15.622,760,333.5,0,1,0
'1713070995647,'2024-04-14 15:03:15.647,760,333.5,0,1,0
'1713070995656,'2024-04-14 15:03:15.656,760,333.5,0,1,0
'1713070995693,'2024-04-14 15:03:15.693,760,333.5,0,1,0
'1713070995709,'2024-04-14 15:03:15.709,760,333.5,0,1,0
'1713070995735,'2024-04-14 15:03:15.735,760,333.5,0,1,0
'1713070995760,'2024-04-14 15:03:15.760,760,333.5,0,1,0
'1713070995794,'2024-04-14 15:03:15.794,760,333.5,0,1,0
'1713070995820,'2024-04-14 15:03:15.820,760,333.5,0,1,0
'1713070995837,'2024-04-14 15:03:15.837,760,333.5,0,1,0
'1713070995863,'2024-04-14 15:03:15.863,760,333.5,0,1,0
'1713070995881,'2024-04-14 15:03:15.881,760,333.5,0,1,0
'1713070995899,'2024-04-14 15:03:15.899,760,333.5,0,1,0
'1713070995916,'2024-04-14 15:03:15.916,760,333.5,0,1,0
'1713070995933,'2024-04-14 15:03:15.933,760,333.5,0,1,0
'1713070995950,'2024-04-14 15:03:15.950,760,333.5,0,1,0
'1713070995967,'2024-04-14 15:03:15.967,760,333.5,0,1,0
'1713070996111,'2024-04-14 15:03:16.111,760,333.5,0,1,0
'1713070996400,'2024-04-14 15:03:16.400,760,333.5,0,1,0
'1713070996435,'2024-04-14 15:03:16.435,760,333.5,0,1,0
'1713070996452,'2024-04-14 15:03:16.452,760,333.5,0,1,0
'1713070996478,'2024-04-14 15:03:16.478,760,333.5,0,1,0
'1713070996503,'2024-04-14 15:03:16.503,760,333.5,0,1,0
'1713070996547,'2024-04-14 15:03:16.547,760,333.5,0,1,0
'1713070996564,'2024-04-14 15:03:16.564,760,333.5,0,1,0
'1713070996598,'2024-04-14 15:03:16.598,760,333.5,0,1,0
'1713070996625,'2024-04-14 15:03:16.625,760,333.5,0,1,0
'1713070996643,'2024-04-14 15:03:16.643,760,333.5,0,1,0
'1713070996660,'2024-04-14 15:03:16.660,760,333.5,0,1,0
'1713070996677,'2024-04-14 15:03:16.677,760,333.5,0,1,0
'1713070996686,'2024-04-14 15:03:16.686,760,333.5,0,1,0
'1713070996711,'2024-04-14 15:03:16.711,760,333.5,0,1,0
'1713070996727,'2024-04-14 15:03:16.727,760,333.5,0,1,0
'1713070996744,'2024-04-14 15:03:16.744,760,333.5,0,1,0
'1713070996770,'2024-04-14 15:03:16.770,760,333.5,0,1,0
'1713070996787,'2024-04-14 15:03:16.787,760,333.5,0,1,0
'1713070996805,'2024-04-14 15:03:16.805,760,333.5,0,1,0
'1713070996840,'2024-04-14 15:03:16.840,760,333.5,0,1,0
'1713070996848,'2024-04-14 15:03:16.848,760,333.5,0,1,0
'1713070996873,'2024-04-14 15:03:16.873,760,333.5,0,1,0
'1713070996890,'2024-04-14 15:03:16.890,760,333.5,0,1,0
'1713070996907,'2024-04-14 15:03:16.907,760,333.5,0,1,0
'1713070996941,'2024-04-14 15:03:16.941,760,333.5,0,1,0
'1713070996966,'2024-04-14 15:03:16.966,760,333.5,0,1,0
'1713070997085,'2024-04-14 15:03:17.085,760,333.5,0,1,0
'1713070997120,'2024-04-14 15:03:17.120,760,333.5,0,1,0
'1713070997137,'2024-04-14 15:03:17.137,760,333.5,0,1,0
'1713070997146,'2024-04-14 15:03:17.146,760,333.5,0,1,0
'1713070997163,'2024-04-14 15:03:17.163,760,333.5,0,1,0
'1713070997180,'2024-04-14 15:03:17.180,760,333.5,0,1,0
'1713070997206,'2024-04-14 15:03:17.206,760,333.5,0,1,0
'1713070997215,'2024-04-14 15:03:17.215,760,333.5,0,1,0
'1713070997240,'2024-04-14 15:03:17.240,760,333.5,0,1,0
'1713070997249,'2024-04-14 15:03:17.249,760,333.5,0,1,0
'1713070997266,'2024-04-14 15:03:17.266,760,333.5,0,1,0
'1713070997291,'2024-04-14 15:03:17.291,760,333.5,0,1,0
'1713070997324,'2024-04-14 15:03:17.324,760,333.5,0,1,0
'1713070997340,'2024-04-14 15:03:17.340,760,333.5,0,1,0
'1713070997357,'2024-04-14 15:03:17.357,760,333.5,0,1,0
'1713070997373,'2024-04-14 15:03:17.373,760,333.5,0,1,0
'1713070997399,'2024-04-14 15:03:17.399,760,333.5,0,1,0
'1713070997416,'2024-04-14 15:03:17.416,760,333.5,0,1,0
'1713070997424,'2024-04-14 15:03:17.424,760,333.5,0,1,0
'1713070997450,'2024-04-14 15:03:17.450,760,333.5,0,1,0
'1713070997466,'2024-04-14 15:03:17.466,760,333.5,0,1,0
'1713070997483,'2024-04-14 15:03:17.483,760,333.5,0,1,0
'1713070997499,'2024-04-14 15:03:17.499,760,333.5,0,1,0
'1713070997532,'2024-04-14 15:03:17.532,760,333.5,0,1,0
'1713070997541,'2024-04-14 15:03:17.541,760,333.5,0,1,0
'1713070997566,'2024-04-14 15:03:17.566,760,333.5,0,1,0
'1713070997583,'2024-04-14 15:03:17.583,760,333.5,0,1,0
'1713070997609,'2024-04-14 15:03:17.609,760,333.5,0,1,0
'1713070997626,'2024-04-14 15:03:17.626,760,333.5,0,1,0
'1713070997651,'2024-04-14 15:03:17.651,760,333.5,0,1,0
'1713070997676,'2024-04-14 15:03:17.676,760,333.5,0,1,0
'1713070997696,'2024-04-14 15:03:17.696,760,333.5,0,1,0
'1713070997713,'2024-04-14 15:03:17.713,760,333.5,0,1,0
'1713070997739,'2024-04-14 15:03:17.739,760,333.5,0,1,0
'1713070997748,'2024-04-14 15:03:17.748,760,333.5,0,1,0
'1713070997756,'2024-04-14 15:03:17.756,760,333.5,0,1,0
'1713070997773,'2024-04-14 15:03:17.773,760,333.5,0,1,0
'1713070997781,'2024-04-14 15:03:17.781,760,333.5,0,1,0
'1713070997798,'2024-04-14 15:03:17.798,760,333.5,0,1,0
'1713070997808,'2024-04-14 15:03:17.808,760,333.5,0,1,0
'1713070997825,'2024-04-14 15:03:17.825,760,333.5,0,1,0
'1713070997843,'2024-04-14 15:03:17.843,760,333.5,0,1,0
'1713070997852,'2024-04-14 15:03:17.852,760,333.5,0,1,0
