Timestamp UNIX,Timestamp Local, X,Y, Left Pupil Diameter, Right Pupil Diameter, Left Eye Openness, Right Eye Openness, Gaze on Left, Gaze on Middle, Gaze on Right
'1731039851698,'2024-11-08 15:24:11.698,0,200,-1,-1,-1,-1,0,0,0
'1731039851706,'2024-11-08 15:24:11.706,0,200,-1,-1,-1,-1,0,0,0
'1731039851716,'2024-11-08 15:24:11.716,0,200,-1,-1,-1,-1,0,0,0
'1731039851724,'2024-11-08 15:24:11.724,0,200,-1,-1,-1,-1,0,0,0
'1731039851742,'2024-11-08 15:24:11.742,0,200,-1,-1,-1,-1,0,0,0
'1731039851751,'2024-11-08 15:24:11.751,0,200,-1,-1,-1,-1,0,0,0
'1731039851759,'2024-11-08 15:24:11.759,0,200,-1,-1,-1,-1,0,0,0
'1731039851776,'2024-11-08 15:24:11.776,0,200,-1,-1,-1,-1,0,0,0
'1731039851785,'2024-11-08 15:24:11.785,0,200,-1,-1,-1,-1,0,0,0
'1731039851793,'2024-11-08 15:24:11.793,0,200,-1,-1,-1,-1,0,0,0
'1731039851812,'2024-11-08 15:24:11.812,0,200,-1,-1,-1,-1,0,0,0
'1731039851820,'2024-11-08 15:24:11.820,0,200,-1,-1,-1,-1,0,0,0
'1731039851829,'2024-11-08 15:24:11.829,0,200,-1,-1,-1,-1,0,0,0
'1731039851846,'2024-11-08 15:24:11.846,0,200,-1,-1,-1,-1,0,0,0
'1731039851854,'2024-11-08 15:24:11.854,0,200,-1,-1,-1,-1,0,0,0
'1731039851863,'2024-11-08 15:24:11.863,0,200,-1,-1,-1,-1,0,0,0
'1731039851871,'2024-11-08 15:24:11.871,0,200,-1,-1,-1,-1,0,0,0
'1731039851880,'2024-11-08 15:24:11.880,0,200,-1,-1,-1,-1,0,0,0
'1731039851888,'2024-11-08 15:24:11.888,0,200,-1,-1,-1,-1,0,0,0
'1731039851905,'2024-11-08 15:24:11.905,0,200,-1,-1,-1,-1,0,0,0
'1731039851922,'2024-11-08 15:24:11.922,0,200,-1,-1,-1,-1,0,0,0
'1731039851938,'2024-11-08 15:24:11.938,0,200,-1,-1,-1,-1,0,0,0
'1731039851955,'2024-11-08 15:24:11.955,0,200,-1,-1,-1,-1,0,0,0
'1731039851973,'2024-11-08 15:24:11.973,0,200,-1,-1,-1,-1,0,0,0
'1731039851982,'2024-11-08 15:24:11.982,0,200,-1,-1,-1,-1,0,0,0
'1731039851999,'2024-11-08 15:24:11.999,0,200,-1,-1,-1,-1,0,0,0
'1731039852007,'2024-11-08 15:24:12.007,0,200,-1,-1,-1,-1,0,0,0
'1731039852016,'2024-11-08 15:24:12.016,0,200,-1,-1,-1,-1,0,0,0
'1731039852025,'2024-11-08 15:24:12.025,0,200,-1,-1,-1,-1,0,0,0
'1731039852033,'2024-11-08 15:24:12.033,0,200,-1,-1,-1,-1,0,0,0
'1731039852043,'2024-11-08 15:24:12.043,0,200,-1,-1,-1,-1,0,0,0
'1731039852059,'2024-11-08 15:24:12.059,0,200,-1,-1,-1,-1,0,0,0
'1731039852068,'2024-11-08 15:24:12.068,0,200,-1,-1,-1,-1,0,0,0
'1731039852077,'2024-11-08 15:24:12.077,0,200,-1,-1,-1,-1,0,0,0
'1731039852093,'2024-11-08 15:24:12.093,0,200,-1,-1,-1,-1,0,0,0
'1731039852102,'2024-11-08 15:24:12.102,0,200,-1,-1,-1,-1,0,0,0
'1731039852111,'2024-11-08 15:24:12.111,0,200,-1,-1,-1,-1,0,0,0
'1731039852127,'2024-11-08 15:24:12.127,0,200,-1,-1,-1,-1,0,0,0
'1731039852144,'2024-11-08 15:24:12.144,0,200,-1,-1,-1,-1,0,0,0
'1731039852153,'2024-11-08 15:24:12.153,0,200,-1,-1,-1,-1,0,0,0
'1731039852162,'2024-11-08 15:24:12.162,0,200,-1,-1,-1,-1,0,0,0
'1731039852170,'2024-11-08 15:24:12.170,0,200,-1,-1,-1,-1,0,0,0
'1731039852187,'2024-11-08 15:24:12.187,0,200,-1,-1,-1,-1,0,0,0
'1731039852196,'2024-11-08 15:24:12.196,0,200,-1,-1,-1,-1,0,0,0
'1731039852205,'2024-11-08 15:24:12.205,0,200,-1,-1,-1,-1,0,0,0
'1731039852214,'2024-11-08 15:24:12.214,0,200,-1,-1,-1,-1,0,0,0
'1731039852224,'2024-11-08 15:24:12.224,0,200,-1,-1,-1,-1,0,0,0
'1731039852233,'2024-11-08 15:24:12.233,0,200,-1,-1,-1,-1,0,0,0
'1731039852242,'2024-11-08 15:24:12.242,0,200,-1,-1,-1,-1,0,0,0
'1731039852259,'2024-11-08 15:24:12.259,0,200,-1,-1,-1,-1,0,0,0
'1731039852267,'2024-11-08 15:24:12.267,0,200,-1,-1,-1,-1,0,0,0
'1731039852275,'2024-11-08 15:24:12.275,0,200,-1,-1,-1,-1,0,0,0
'1731039852284,'2024-11-08 15:24:12.284,0,200,-1,-1,-1,-1,0,0,0
'1731039852303,'2024-11-08 15:24:12.303,0,200,-1,-1,-1,-1,0,0,0
'1731039852311,'2024-11-08 15:24:12.311,0,200,-1,-1,-1,-1,0,0,0
'1731039852320,'2024-11-08 15:24:12.320,0,200,-1,-1,-1,-1,0,0,0
'1731039852338,'2024-11-08 15:24:12.338,0,200,-1,-1,-1,-1,0,0,0
'1731039852346,'2024-11-08 15:24:12.346,0,200,-1,-1,-1,-1,0,0,0
'1731039852356,'2024-11-08 15:24:12.356,0,200,-1,-1,-1,-1,0,0,0
'1731039852364,'2024-11-08 15:24:12.364,0,200,-1,-1,-1,-1,0,0,0
'1731039852372,'2024-11-08 15:24:12.372,0,200,-1,-1,-1,-1,0,0,0
'1731039852381,'2024-11-08 15:24:12.381,0,200,-1,-1,-1,-1,0,0,0
'1731039852398,'2024-11-08 15:24:12.398,0,200,-1,-1,-1,-1,0,0,0
'1731039852407,'2024-11-08 15:24:12.407,0,200,-1,-1,-1,-1,0,0,0
'1731039852415,'2024-11-08 15:24:12.415,0,200,-1,-1,-1,-1,0,0,0
'1731039852425,'2024-11-08 15:24:12.425,0,200,-1,-1,-1,-1,0,0,0
'1731039852433,'2024-11-08 15:24:12.433,0,200,-1,-1,-1,-1,0,0,0
'1731039852443,'2024-11-08 15:24:12.443,0,200,-1,-1,-1,-1,0,0,0
'1731039852461,'2024-11-08 15:24:12.461,0,200,-1,-1,-1,-1,0,0,0
'1731039852469,'2024-11-08 15:24:12.469,0,200,-1,-1,-1,-1,0,0,0
'1731039852478,'2024-11-08 15:24:12.478,0,200,-1,-1,-1,-1,0,0,0
'1731039852486,'2024-11-08 15:24:12.486,0,200,-1,-1,-1,-1,0,0,0
'1731039852495,'2024-11-08 15:24:12.495,0,200,-1,-1,-1,-1,0,0,0
'1731039852503,'2024-11-08 15:24:12.503,0,200,-1,-1,-1,-1,0,0,0
'1731039852511,'2024-11-08 15:24:12.511,0,200,-1,-1,-1,-1,0,0,0
