Timestamp UNIX,Timestamp Unity, X,Y, Left, Middle, Right
1712487366207,2024-04-07 10:56:06.207,768,341.5,0,1,0
1712487367469,2024-04-07 10:56:07.469,768,341.5,0,1,0
1712487367578,2024-04-07 10:56:07.578,768,341.5,0,1,0
1712487367594,2024-04-07 10:56:07.594,768,341.5,0,1,0
1712487367602,2024-04-07 10:56:07.602,768,341.5,0,1,0
1712487367620,2024-04-07 10:56:07.620,768,341.5,0,1,0
1712487367645,2024-04-07 10:56:07.645,768,341.5,0,1,0
1712487367654,2024-04-07 10:56:07.654,768,341.5,0,1,0
1712487367671,2024-04-07 10:56:07.671,768,341.5,0,1,0
1712487367680,2024-04-07 10:56:07.680,768,341.5,0,1,0
1712487367697,2024-04-07 10:56:07.697,768,341.5,0,1,0
1712487367714,2024-04-07 10:56:07.714,768,341.5,0,1,0
1712487367723,2024-04-07 10:56:07.723,768,341.5,0,1,0
1712487367741,2024-04-07 10:56:07.741,768,341.5,0,1,0
1712487367758,2024-04-07 10:56:07.758,768,341.5,0,1,0
1712487367767,2024-04-07 10:56:07.767,768,341.5,0,1,0
1712487367783,2024-04-07 10:56:07.783,768,341.5,0,1,0
1712487367801,2024-04-07 10:56:07.801,768,341.5,0,1,0
1712487367818,2024-04-07 10:56:07.818,768,341.5,0,1,0
1712487367826,2024-04-07 10:56:07.826,768,341.5,0,1,0
1712487367843,2024-04-07 10:56:07.843,768,341.5,0,1,0
1712487367852,2024-04-07 10:56:07.852,768,341.5,0,1,0
1712487367878,2024-04-07 10:56:07.878,768,341.5,0,1,0
1712487367886,2024-04-07 10:56:07.886,768,341.5,0,1,0
1712487367904,2024-04-07 10:56:07.904,768,341.5,0,1,0
1712487367921,2024-04-07 10:56:07.921,768,341.5,0,1,0
1712487367938,2024-04-07 10:56:07.938,768,341.5,0,1,0
1712487367956,2024-04-07 10:56:07.956,768,341.5,0,1,0
1712487367973,2024-04-07 10:56:07.973,768,341.5,0,1,0
1712487367981,2024-04-07 10:56:07.981,768,341.5,0,1,0
1712487367999,2024-04-07 10:56:07.999,768,341.5,0,1,0
1712487368017,2024-04-07 10:56:08.017,768,341.5,0,1,0
1712487368025,2024-04-07 10:56:08.025,768,341.5,0,1,0
1712487368042,2024-04-07 10:56:08.042,768,341.5,0,1,0
1712487368060,2024-04-07 10:56:08.060,768,341.5,0,1,0
1712487368077,2024-04-07 10:56:08.077,768,341.5,0,1,0
1712487368085,2024-04-07 10:56:08.085,768,341.5,0,1,0
1712487368102,2024-04-07 10:56:08.102,768,341.5,0,1,0
1712487368119,2024-04-07 10:56:08.119,768,341.5,0,1,0
1712487368135,2024-04-07 10:56:08.135,768,341.5,0,1,0
1712487368144,2024-04-07 10:56:08.144,768,341.5,0,1,0
1712487368170,2024-04-07 10:56:08.170,768,341.5,0,1,0
