Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1712495834328,'2024-04-07 23:17:14.328,2F,2F,0,1,0
'1712495835547,'2024-04-07 23:17:15.547,2F,2F,0,1,0
'1712495835608,'2024-04-07 23:17:15.608,2F,2F,0,1,0
'1712495835617,'2024-04-07 23:17:15.617,2F,2F,0,1,0
'1712495835634,'2024-04-07 23:17:15.634,2F,2F,0,1,0
'1712495835651,'2024-04-07 23:17:15.651,2F,2F,0,1,0
'1712495835660,'2024-04-07 23:17:15.660,2F,2F,0,1,0
'1712495835678,'2024-04-07 23:17:15.678,2F,2F,0,1,0
'1712495835695,'2024-04-07 23:17:15.695,2F,2F,0,1,0
'1712495835711,'2024-04-07 23:17:15.711,2F,2F,0,1,0
'1712495835746,'2024-04-07 23:17:15.746,2F,2F,0,1,0
'1712495835755,'2024-04-07 23:17:15.755,2F,2F,0,1,0
'1712495835773,'2024-04-07 23:17:15.773,2F,2F,0,1,0
'1712495835790,'2024-04-07 23:17:15.790,2F,2F,0,1,0
'1712495835806,'2024-04-07 23:17:15.806,2F,2F,0,1,0
'1712495835823,'2024-04-07 23:17:15.823,2F,2F,0,1,0
'1712495835840,'2024-04-07 23:17:15.840,2F,2F,0,1,0
'1712495835857,'2024-04-07 23:17:15.857,2F,2F,0,1,0
'1712495835866,'2024-04-07 23:17:15.866,2F,2F,0,1,0
'1712495835883,'2024-04-07 23:17:15.883,2F,2F,0,1,0
'1712495835899,'2024-04-07 23:17:15.899,2F,2F,0,1,0
'1712495835908,'2024-04-07 23:17:15.908,2F,2F,0,1,0
'1712495835934,'2024-04-07 23:17:15.934,2F,2F,0,1,0
'1712495835943,'2024-04-07 23:17:15.943,2F,2F,0,1,0
'1712495835952,'2024-04-07 23:17:15.952,2F,2F,0,1,0
'1712495835968,'2024-04-07 23:17:15.968,2F,2F,0,1,0
'1712495835993,'2024-04-07 23:17:15.993,2F,2F,0,1,0
'1712495836011,'2024-04-07 23:17:16.011,2F,2F,0,1,0
'1712495836019,'2024-04-07 23:17:16.019,2F,2F,0,1,0
'1712495836036,'2024-04-07 23:17:16.036,2F,2F,0,1,0
'1712495836052,'2024-04-07 23:17:16.052,2F,2F,0,1,0
'1712495836061,'2024-04-07 23:17:16.061,2F,2F,0,1,0
'1712495836078,'2024-04-07 23:17:16.078,2F,2F,0,1,0
'1712495836097,'2024-04-07 23:17:16.097,2F,2F,0,1,0
'1712495836106,'2024-04-07 23:17:16.106,2F,2F,0,1,0
'1712495836123,'2024-04-07 23:17:16.123,2F,2F,0,1,0
'1712495836140,'2024-04-07 23:17:16.140,2F,2F,0,1,0
'1712495836157,'2024-04-07 23:17:16.157,2F,2F,0,1,0
'1712495836165,'2024-04-07 23:17:16.165,2F,2F,0,1,0
'1712495836183,'2024-04-07 23:17:16.183,2F,2F,0,1,0
'1712495836201,'2024-04-07 23:17:16.201,2F,2F,0,1,0
'1712495836209,'2024-04-07 23:17:16.209,2F,2F,0,1,0
'1712495836227,'2024-04-07 23:17:16.227,2F,2F,0,1,0
'1712495836235,'2024-04-07 23:17:16.235,2F,2F,0,1,0
'1712495836252,'2024-04-07 23:17:16.252,2F,2F,0,1,0
'1712495836268,'2024-04-07 23:17:16.268,2F,2F,0,1,0
'1712495836285,'2024-04-07 23:17:16.285,2F,2F,0,1,0
'1712495836293,'2024-04-07 23:17:16.293,2F,2F,0,1,0
'1712495836311,'2024-04-07 23:17:16.311,2F,2F,0,1,0
'1712495836327,'2024-04-07 23:17:16.327,2F,2F,0,1,0
'1712495836345,'2024-04-07 23:17:16.345,2F,2F,0,1,0
'1712495836353,'2024-04-07 23:17:16.353,2F,2F,0,1,0
'1712495836370,'2024-04-07 23:17:16.370,2F,2F,0,1,0
'1712495836378,'2024-04-07 23:17:16.378,2F,2F,0,1,0
'1712495836403,'2024-04-07 23:17:16.403,2F,2F,0,1,0
'1712495836421,'2024-04-07 23:17:16.421,2F,2F,0,1,0
'1712495836438,'2024-04-07 23:17:16.438,2F,2F,0,1,0
'1712495836456,'2024-04-07 23:17:16.456,2F,2F,0,1,0
'1712495836473,'2024-04-07 23:17:16.473,2F,2F,0,1,0
'1712495836481,'2024-04-07 23:17:16.481,2F,2F,0,1,0
'1712495836500,'2024-04-07 23:17:16.500,2F,2F,0,1,0
'1712495836517,'2024-04-07 23:17:16.517,2F,2F,0,1,0
'1712495836533,'2024-04-07 23:17:16.533,2F,2F,0,1,0
'1712495836550,'2024-04-07 23:17:16.550,2F,2F,0,1,0
'1712495836567,'2024-04-07 23:17:16.567,2F,2F,0,1,0
'1712495836576,'2024-04-07 23:17:16.576,2F,2F,0,1,0
'1712495836592,'2024-04-07 23:17:16.592,2F,2F,0,1,0
'1712495836601,'2024-04-07 23:17:16.601,2F,2F,0,1,0
'1712495836618,'2024-04-07 23:17:16.618,2F,2F,0,1,0
'1712495836635,'2024-04-07 23:17:16.635,2F,2F,0,1,0
'1712495836652,'2024-04-07 23:17:16.652,2F,2F,0,1,0
'1712495836661,'2024-04-07 23:17:16.661,2F,2F,0,1,0
'1712495836678,'2024-04-07 23:17:16.678,2F,2F,0,1,0
'1712495836696,'2024-04-07 23:17:16.696,2F,2F,0,1,0
'1712495836706,'2024-04-07 23:17:16.706,2F,2F,0,1,0
'1712495836722,'2024-04-07 23:17:16.722,2F,2F,0,1,0
'1712495836739,'2024-04-07 23:17:16.739,2F,2F,0,1,0
'1712495836756,'2024-04-07 23:17:16.756,2F,2F,0,1,0
'1712495836824,'2024-04-07 23:17:16.824,2F,2F,0,1,0
'1712495836833,'2024-04-07 23:17:16.833,2F,2F,0,1,0
