Timestamp UNIX,Timestamp Local, X,Y, Left Pupil Diameter, Right Pupil Diameter, Gaze on Left, Gaze on Middle, Gaze on Right
'1714461628440,'2024-04-30 17:20:28.440,-75.48682,64.27572,2.454269,2.278214,1,1,0,0,0
'1714461628449,'2024-04-30 17:20:28.449,-110.0237,72.4894,2.365143,2.283142,1,1,0,0,0
'1714461628467,'2024-04-30 17:20:28.467,-135.5845,82.23361,2.497086,2.287949,1,1,0,0,0
'1714461628476,'2024-04-30 17:20:28.476,-150.3758,75.01378,2.326721,2.343262,1,1,0,0,0
'1714461628494,'2024-04-30 17:20:28.494,-156.3799,78.11511,2.392303,2.414749,1,1,0,0,0
'1714461628503,'2024-04-30 17:20:28.503,-159.4632,78.24406,2.381271,2.259094,1,1,0,0,0
'1714461628521,'2024-04-30 17:20:28.521,-154.0945,78.79505,2.375778,2.324661,1,1,0,0,0
'1714461628530,'2024-04-30 17:20:28.530,-160.4256,78.52882,2.374191,2.292404,1,1,0,0,0
'1714461628548,'2024-04-30 17:20:28.548,-177.1857,77.80425,2.37825,2.300476,1,1,0,0,0
'1714461628557,'2024-04-30 17:20:28.557,-177.4616,77.94849,2.375595,2.296051,1,1,0,0,0
'1714461628575,'2024-04-30 17:20:28.575,-178.4337,77.71996,2.372345,2.306564,1,1,0,0,0
'1714461628584,'2024-04-30 17:20:28.584,-180.1959,76.80585,2.371887,2.30043,1,1,0,0,0
'1714461628601,'2024-04-30 17:20:28.601,-180.5548,76.73364,2.358185,2.298477,1,1,0,0,0
'1714461628610,'2024-04-30 17:20:28.610,-179.9433,76.52869,2.363403,2.298233,1,1,0,0,0
'1714461628628,'2024-04-30 17:20:28.628,-179.7627,75.56721,2.355087,2.296005,1,1,0,0,0
'1714461628637,'2024-04-30 17:20:28.637,-180.2599,75.57821,2.358871,2.262299,1,1,0,0,0
'1714461628655,'2024-04-30 17:20:28.655,-182.4687,10.87052,2.12915,2.110901,1,1,0,0,0
'1714461628673,'2024-04-30 17:20:28.673,815.7136,-788.1892,-1,-1,0.3075465,0.7513035,0,0,0
'1714461628691,'2024-04-30 17:20:28.691,815.7136,-788.1892,-1,-1,0.2312995,0.5540656,0,0,0
'1714461628700,'2024-04-30 17:20:28.700,815.7136,-788.1892,-1,-1,0.2390416,0.582549,0,0,0
'1714461628718,'2024-04-30 17:20:28.718,815.7136,-788.1892,-1,-1,0.404353,0.7659875,0,0,0
'1714461628727,'2024-04-30 17:20:28.727,-251.1796,85.89934,-1,2.211853,0.404353,0.7659875,0,0,0
'1714461628745,'2024-04-30 17:20:28.745,-239.4627,108.5428,-1,2.337006,0.5889482,0.8147354,0,0,0
'1714461628754,'2024-04-30 17:20:28.754,-249.3514,100.1116,-1,2.367355,0.8183958,0.9326355,0,0,0
'1714461628772,'2024-04-30 17:20:28.772,-239.6335,104.9992,2.296707,2.369263,1,1,0,0,0
'1714461628780,'2024-04-30 17:20:28.780,-244.0351,96.29725,2.326782,2.374298,1,1,0,0,0
'1714461628798,'2024-04-30 17:20:28.798,-237.4847,103.1435,2.218597,2.292923,1,1,0,0,0
'1714461628807,'2024-04-30 17:20:28.807,-214.2224,97.82506,2.299698,2.312912,1,1,0,0,0
'1714461628825,'2024-04-30 17:20:28.825,-213.7676,97.88147,2.292297,2.31163,1,1,0,0,0
'1714461628834,'2024-04-30 17:20:28.834,-214.418,92.66062,2.29184,2.312042,1,1,0,0,0
'1714461628852,'2024-04-30 17:20:28.852,-214.2776,93.45798,2.294739,2.325089,1,1,0,0,0
'1714461628861,'2024-04-30 17:20:28.861,-215.3435,92.49988,2.427841,2.319031,1,1,0,0,0
'1714461628879,'2024-04-30 17:20:28.879,-212.0858,93.78564,2.476898,2.311295,1,1,0,0,0
'1714461628888,'2024-04-30 17:20:28.888,-212.3054,93.24228,2.427475,2.31012,1,1,0,0,0
'1714461628906,'2024-04-30 17:20:28.906,-212.1139,91.2062,2.467331,2.308899,1,1,0,0,0
'1714461628924,'2024-04-30 17:20:28.924,-211.8144,91.14905,2.473282,2.324142,1,1,0,0,0
'1714461628933,'2024-04-30 17:20:28.933,-210.1696,90.29044,2.466888,2.298294,1,1,0,0,0
'1714461628951,'2024-04-30 17:20:28.951,-210.4595,89.67607,2.462265,2.323547,1,1,0,0,0
'1714461628968,'2024-04-30 17:20:28.968,-207.6011,78.92824,2.412445,2.356659,1,1,0,0,0
'1714461628977,'2024-04-30 17:20:28.977,-134.2743,77.99606,2.508102,2.273285,1,1,0,0,0
'1714461628995,'2024-04-30 17:20:28.995,-86.39948,76.38439,2.430923,2.317612,1,1,0,0,0
'1714461629004,'2024-04-30 17:20:29.004,-34.30634,72.24553,2.369308,2.257156,1,1,0,0,0
'1714461629022,'2024-04-30 17:20:29.022,20.11704,75.24917,2.289429,2.296921,1,1,0,0,0
'1714461629031,'2024-04-30 17:20:29.031,19.68195,72.48231,2.354034,2.259583,1,1,0,0,0
'1714461629049,'2024-04-30 17:20:29.049,22.13775,66.76136,2.459,2.259918,1,1,0,0,0
'1714461629058,'2024-04-30 17:20:29.058,18.21878,72.27942,2.408997,2.260513,1,1,0,0,0
'1714461629067,'2024-04-30 17:20:29.067,-21.58207,79.01352,2.44133,2.26915,1,1,0,0,0
'1714461629085,'2024-04-30 17:20:29.085,-28.54965,79.29986,2.382095,2.283569,1,1,0,0,0
'1714461629094,'2024-04-30 17:20:29.094,-29.22552,80.22986,2.405136,2.276932,1,1,0,0,0
'1714461629112,'2024-04-30 17:20:29.112,-30.08968,80.13086,2.42659,2.261383,1,1,0,0,0
'1714461629121,'2024-04-30 17:20:29.121,-27.526,79.65483,2.428833,2.259842,1,1,0,0,0
'1714461629139,'2024-04-30 17:20:29.139,-15.06627,74.68052,2.427658,2.259781,1,1,0,0,0
'1714461629156,'2024-04-30 17:20:29.156,-12.93392,74.04643,2.467377,2.261627,1,1,0,0,0
'1714461629165,'2024-04-30 17:20:29.165,-11.46743,73.56879,2.45932,2.275467,1,1,0,0,0
'1714461629183,'2024-04-30 17:20:29.183,-9.683238,72.12933,2.432968,2.255875,1,1,0,0,0
'1714461629192,'2024-04-30 17:20:29.192,-10.8316,70.35797,2.544388,2.256058,1,1,0,0,0
'1714461629210,'2024-04-30 17:20:29.210,-11.53268,70.76262,2.478622,2.256134,1,1,0,0,0
'1714461629218,'2024-04-30 17:20:29.218,-9.865268,70.10854,2.485779,2.270721,1,1,0,0,0
'1714461629236,'2024-04-30 17:20:29.236,-9.522389,69.54256,2.485443,2.276581,1,1,0,0,0
'1714461629245,'2024-04-30 17:20:29.245,-11.35315,69.87579,2.480637,2.277161,1,1,0,0,0
'1714461629263,'2024-04-30 17:20:29.263,-12.28701,69.96606,2.477188,2.282196,1,1,0,0,0
'1714461629271,'2024-04-30 17:20:29.271,-11.46531,69.26263,2.476913,2.285965,1,1,0,0,0
'1714461629289,'2024-04-30 17:20:29.289,-10.77254,68.88992,2.476273,2.286636,1,1,0,0,0
'1714461629307,'2024-04-30 17:20:29.307,-5.412539,65.7811,2.470169,2.302231,1,1,0,0,0
'1714461629316,'2024-04-30 17:20:29.316,-3.160192,65.01557,2.464523,2.30661,1,1,0,0,0
'1714461629334,'2024-04-30 17:20:29.334,-1.634081,64.57153,2.464508,2.310242,1,1,0,0,0
'1714461629343,'2024-04-30 17:20:29.343,-6.929155,57.41294,2.467545,2.28479,1,1,0,0,0
'1714461629361,'2024-04-30 17:20:29.361,5.135969,33.40819,2.284454,2.266525,1,1,0,0,0
'1714461629369,'2024-04-30 17:20:29.369,31.64149,-57.25363,2.415009,2.172028,1,1,0,0,0
'1714461629387,'2024-04-30 17:20:29.387,34.37892,-92.31275,2.336731,2.355011,1,1,0,0,0
'1714461629396,'2024-04-30 17:20:29.396,26.77337,-156.8556,2.375702,2.219315,1,1,0,0,0
'1714461629414,'2024-04-30 17:20:29.414,31.58751,-153.7657,2.277344,2.199997,1,1,0,0,0
'1714461629423,'2024-04-30 17:20:29.423,27.48853,-160.779,2.395645,2.271194,1,1,0,0,0
'1714461629432,'2024-04-30 17:20:29.432,16.94609,-157.0344,2.265305,2.241211,1,1,0,0,0
'1714461629450,'2024-04-30 17:20:29.450,-3.847034,-157.1031,2.376617,2.248459,1,1,0,0,0
'1714461629459,'2024-04-30 17:20:29.459,12.22288,-157.2987,2.305939,2.158249,1,1,0,0,0
'1714461629477,'2024-04-30 17:20:29.477,20.40893,-160.7062,2.303284,2.218323,1,1,0,0,0
'1714461629486,'2024-04-30 17:20:29.486,19.93431,-160.0107,2.328888,2.218246,1,1,0,0,0
'1714461629504,'2024-04-30 17:20:29.504,17.21702,-158.5531,2.299026,2.15918,1,1,0,0,0
'1714461629513,'2024-04-30 17:20:29.513,16.78005,-160.4393,2.298706,2.190689,1,1,0,0,0
'1714461629531,'2024-04-30 17:20:29.531,16.90651,-162.4052,2.303131,2.200211,1,1,0,0,0
