Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1713069205458,'2024-04-14 14:33:25.458,760,333.5,0,1,0
'1713069207323,'2024-04-14 14:33:27.323,760,333.5,0,1,0
'1713069207409,'2024-04-14 14:33:27.409,760,333.5,0,1,0
'1713069207426,'2024-04-14 14:33:27.426,760,333.5,0,1,0
'1713069207470,'2024-04-14 14:33:27.470,760,333.5,0,1,0
'1713069207486,'2024-04-14 14:33:27.486,760,333.5,0,1,0
'1713069207503,'2024-04-14 14:33:27.503,760,333.5,0,1,0
'1713069207520,'2024-04-14 14:33:27.520,760,333.5,0,1,0
'1713069207537,'2024-04-14 14:33:27.537,760,333.5,0,1,0
'1713069207553,'2024-04-14 14:33:27.553,760,333.5,0,1,0
'1713069207571,'2024-04-14 14:33:27.571,760,333.5,0,1,0
'1713069207589,'2024-04-14 14:33:27.589,760,333.5,0,1,0
'1713069207597,'2024-04-14 14:33:27.597,760,333.5,0,1,0
'1713069207614,'2024-04-14 14:33:27.614,760,333.5,0,1,0
'1713069207631,'2024-04-14 14:33:27.631,760,333.5,0,1,0
'1713069207656,'2024-04-14 14:33:27.656,760,333.5,0,1,0
'1713069207674,'2024-04-14 14:33:27.674,760,333.5,0,1,0
'1713069207691,'2024-04-14 14:33:27.691,760,333.5,0,1,0
'1713069207708,'2024-04-14 14:33:27.708,760,333.5,0,1,0
'1713069207726,'2024-04-14 14:33:27.726,760,333.5,0,1,0
'1713069207743,'2024-04-14 14:33:27.743,760,333.5,0,1,0
'1713069207751,'2024-04-14 14:33:27.751,760,333.5,0,1,0
'1713069207768,'2024-04-14 14:33:27.768,760,333.5,0,1,0
'1713069207786,'2024-04-14 14:33:27.786,760,333.5,0,1,0
'1713069207812,'2024-04-14 14:33:27.812,760,333.5,0,1,0
'1713069207821,'2024-04-14 14:33:27.821,760,333.5,0,1,0
'1713069207838,'2024-04-14 14:33:27.838,760,333.5,0,1,0
'1713069207855,'2024-04-14 14:33:27.855,760,333.5,0,1,0
'1713069207864,'2024-04-14 14:33:27.864,760,333.5,0,1,0
'1713069207881,'2024-04-14 14:33:27.881,760,333.5,0,1,0
'1713069207890,'2024-04-14 14:33:27.890,760,333.5,0,1,0
'1713069207899,'2024-04-14 14:33:27.899,760,333.5,0,1,0
'1713069207916,'2024-04-14 14:33:27.916,760,333.5,0,1,0
'1713069207925,'2024-04-14 14:33:27.925,760,333.5,0,1,0
'1713069207951,'2024-04-14 14:33:27.951,760,333.5,0,1,0
'1713069207969,'2024-04-14 14:33:27.969,760,333.5,0,1,0
'1713069207977,'2024-04-14 14:33:27.977,760,333.5,0,1,0
'1713069207994,'2024-04-14 14:33:27.994,760,333.5,0,1,0
'1713069208021,'2024-04-14 14:33:28.021,760,333.5,0,1,0
'1713069208030,'2024-04-14 14:33:28.030,760,333.5,0,1,0
'1713069208047,'2024-04-14 14:33:28.047,760,333.5,0,1,0
'1713069208066,'2024-04-14 14:33:28.066,760,333.5,0,1,0
'1713069208083,'2024-04-14 14:33:28.083,760,333.5,0,1,0
'1713069208100,'2024-04-14 14:33:28.100,760,333.5,0,1,0
'1713069208109,'2024-04-14 14:33:28.109,760,333.5,0,1,0
'1713069208126,'2024-04-14 14:33:28.126,760,333.5,0,1,0
'1713069208144,'2024-04-14 14:33:28.144,760,333.5,0,1,0
'1713069208153,'2024-04-14 14:33:28.153,760,333.5,0,1,0
'1713069208170,'2024-04-14 14:33:28.170,760,333.5,0,1,0
'1713069208188,'2024-04-14 14:33:28.188,760,333.5,0,1,0
'1713069208206,'2024-04-14 14:33:28.206,760,333.5,0,1,0
'1713069208214,'2024-04-14 14:33:28.214,760,333.5,0,1,0
'1713069208231,'2024-04-14 14:33:28.231,760,333.5,0,1,0
'1713069208248,'2024-04-14 14:33:28.248,760,333.5,0,1,0
'1713069208265,'2024-04-14 14:33:28.265,760,333.5,0,1,0
'1713069208283,'2024-04-14 14:33:28.283,760,333.5,0,1,0
'1713069208300,'2024-04-14 14:33:28.300,760,333.5,0,1,0
'1713069208317,'2024-04-14 14:33:28.317,760,333.5,0,1,0
'1713069208334,'2024-04-14 14:33:28.334,760,333.5,0,1,0
'1713069208351,'2024-04-14 14:33:28.351,760,333.5,0,1,0
'1713069208377,'2024-04-14 14:33:28.377,760,333.5,0,1,0
'1713069208453,'2024-04-14 14:33:28.453,760,333.5,0,1,0
'1713069208469,'2024-04-14 14:33:28.469,760,333.5,0,1,0
'1713069208495,'2024-04-14 14:33:28.495,760,333.5,0,1,0
'1713069208512,'2024-04-14 14:33:28.512,760,333.5,0,1,0
'1713069208530,'2024-04-14 14:33:28.530,760,333.5,0,1,0
'1713069208555,'2024-04-14 14:33:28.555,760,333.5,0,1,0
'1713069208588,'2024-04-14 14:33:28.588,760,333.5,0,1,0
'1713069208605,'2024-04-14 14:33:28.605,760,333.5,0,1,0
'1713069208613,'2024-04-14 14:33:28.613,760,333.5,0,1,0
'1713069208646,'2024-04-14 14:33:28.646,760,333.5,0,1,0
'1713069208671,'2024-04-14 14:33:28.671,760,333.5,0,1,0
'1713069208688,'2024-04-14 14:33:28.688,760,333.5,0,1,0
'1713069208704,'2024-04-14 14:33:28.704,760,333.5,0,1,0
'1713069208729,'2024-04-14 14:33:28.729,760,333.5,0,1,0
'1713069208754,'2024-04-14 14:33:28.754,760,333.5,0,1,0
'1713069208771,'2024-04-14 14:33:28.771,760,333.5,0,1,0
'1713069208788,'2024-04-14 14:33:28.788,760,333.5,0,1,0
'1713069208805,'2024-04-14 14:33:28.805,760,333.5,0,1,0
'1713069208830,'2024-04-14 14:33:28.830,760,333.5,0,1,0
'1713069208855,'2024-04-14 14:33:28.855,760,333.5,0,1,0
'1713069208872,'2024-04-14 14:33:28.872,760,333.5,0,1,0
'1713069208889,'2024-04-14 14:33:28.889,760,333.5,0,1,0
'1713069208906,'2024-04-14 14:33:28.906,760,333.5,0,1,0
'1713069208932,'2024-04-14 14:33:28.932,760,333.5,0,1,0
'1713069208950,'2024-04-14 14:33:28.950,760,333.5,0,1,0
'1713069208966,'2024-04-14 14:33:28.966,760,333.5,0,1,0
'1713069208993,'2024-04-14 14:33:28.993,760,333.5,0,1,0
'1713069209011,'2024-04-14 14:33:29.011,760,333.5,0,1,0
'1713069209030,'2024-04-14 14:33:29.030,760,333.5,0,1,0
'1713069209046,'2024-04-14 14:33:29.046,760,333.5,0,1,0
'1713069209063,'2024-04-14 14:33:29.063,760,333.5,0,1,0
'1713069209088,'2024-04-14 14:33:29.088,760,333.5,0,1,0
'1713069209105,'2024-04-14 14:33:29.105,760,333.5,0,1,0
'1713069209123,'2024-04-14 14:33:29.123,760,333.5,0,1,0
'1713069209139,'2024-04-14 14:33:29.139,760,333.5,0,1,0
'1713069209156,'2024-04-14 14:33:29.156,760,333.5,0,1,0
'1713069209190,'2024-04-14 14:33:29.190,760,333.5,0,1,0
'1713069209207,'2024-04-14 14:33:29.207,760,333.5,0,1,0
'1713069209224,'2024-04-14 14:33:29.224,760,333.5,0,1,0
'1713069209242,'2024-04-14 14:33:29.242,760,333.5,0,1,0
'1713069209259,'2024-04-14 14:33:29.259,760,333.5,0,1,0
'1713069209276,'2024-04-14 14:33:29.276,760,333.5,0,1,0
'1713069209301,'2024-04-14 14:33:29.301,760,333.5,0,1,0
'1713069209318,'2024-04-14 14:33:29.318,760,333.5,0,1,0
'1713069209335,'2024-04-14 14:33:29.335,760,333.5,0,1,0
'1713069209353,'2024-04-14 14:33:29.353,760,333.5,0,1,0
'1713069209370,'2024-04-14 14:33:29.370,760,333.5,0,1,0
'1713069209387,'2024-04-14 14:33:29.387,760,333.5,0,1,0
'1713069209403,'2024-04-14 14:33:29.403,760,333.5,0,1,0
'1713069209421,'2024-04-14 14:33:29.421,760,333.5,0,1,0
'1713069209438,'2024-04-14 14:33:29.438,760,333.5,0,1,0
'1713069209454,'2024-04-14 14:33:29.454,760,333.5,0,1,0
'1713069209480,'2024-04-14 14:33:29.480,760,333.5,0,1,0
'1713069209488,'2024-04-14 14:33:29.488,760,333.5,0,1,0
'1713069209521,'2024-04-14 14:33:29.521,760,333.5,0,1,0
'1713069209539,'2024-04-14 14:33:29.539,760,333.5,0,1,0
'1713069209556,'2024-04-14 14:33:29.556,760,333.5,0,1,0
'1713069209573,'2024-04-14 14:33:29.573,760,333.5,0,1,0
'1713069209591,'2024-04-14 14:33:29.591,760,333.5,0,1,0
'1713069209625,'2024-04-14 14:33:29.625,760,333.5,0,1,0
'1713069209641,'2024-04-14 14:33:29.641,760,333.5,0,1,0
'1713069209660,'2024-04-14 14:33:29.660,760,333.5,0,1,0
'1713069209686,'2024-04-14 14:33:29.686,760,333.5,0,1,0
'1713069209703,'2024-04-14 14:33:29.703,760,333.5,0,1,0
'1713069209721,'2024-04-14 14:33:29.721,760,333.5,0,1,0
'1713069209738,'2024-04-14 14:33:29.738,760,333.5,0,1,0
'1713069209756,'2024-04-14 14:33:29.756,760,333.5,0,1,0
'1713069209772,'2024-04-14 14:33:29.772,760,333.5,0,1,0
'1713069209789,'2024-04-14 14:33:29.789,760,333.5,0,1,0
'1713069209806,'2024-04-14 14:33:29.806,760,333.5,0,1,0
'1713069209841,'2024-04-14 14:33:29.841,760,333.5,0,1,0
'1713069209850,'2024-04-14 14:33:29.850,760,333.5,0,1,0
'1713069209867,'2024-04-14 14:33:29.867,760,333.5,0,1,0
'1713069209892,'2024-04-14 14:33:29.892,760,333.5,0,1,0
'1713069209917,'2024-04-14 14:33:29.917,760,333.5,0,1,0
'1713069209935,'2024-04-14 14:33:29.935,760,333.5,0,1,0
'1713069209951,'2024-04-14 14:33:29.951,760,333.5,0,1,0
'1713069209968,'2024-04-14 14:33:29.968,760,333.5,0,1,0
'1713069209985,'2024-04-14 14:33:29.985,760,333.5,0,1,0
'1713069210002,'2024-04-14 14:33:30.002,760,333.5,0,1,0
'1713069210020,'2024-04-14 14:33:30.020,760,333.5,0,1,0
'1713069210037,'2024-04-14 14:33:30.037,760,333.5,0,1,0
'1713069210062,'2024-04-14 14:33:30.062,760,333.5,0,1,0
'1713069210079,'2024-04-14 14:33:30.079,760,333.5,0,1,0
'1713069210097,'2024-04-14 14:33:30.097,760,333.5,0,1,0
'1713069210122,'2024-04-14 14:33:30.122,760,333.5,0,1,0
'1713069210139,'2024-04-14 14:33:30.139,760,333.5,0,1,0
'1713069210155,'2024-04-14 14:33:30.155,760,333.5,0,1,0
'1713069210181,'2024-04-14 14:33:30.181,760,333.5,0,1,0
'1713069210190,'2024-04-14 14:33:30.190,760,333.5,0,1,0
'1713069210223,'2024-04-14 14:33:30.223,760,333.5,0,1,0
'1713069210231,'2024-04-14 14:33:30.231,760,333.5,0,1,0
'1713069210257,'2024-04-14 14:33:30.257,760,333.5,0,1,0
'1713069210275,'2024-04-14 14:33:30.275,760,333.5,0,1,0
'1713069210292,'2024-04-14 14:33:30.292,760,333.5,0,1,0
'1713069210318,'2024-04-14 14:33:30.318,760,333.5,0,1,0
'1713069210336,'2024-04-14 14:33:30.336,760,333.5,0,1,0
'1713069210353,'2024-04-14 14:33:30.353,760,333.5,0,1,0
'1713069210372,'2024-04-14 14:33:30.372,760,333.5,0,1,0
'1713069210388,'2024-04-14 14:33:30.388,760,333.5,0,1,0
'1713069210406,'2024-04-14 14:33:30.406,760,333.5,0,1,0
'1713069210430,'2024-04-14 14:33:30.430,760,333.5,0,1,0
'1713069210448,'2024-04-14 14:33:30.448,760,333.5,0,1,0
'1713069210474,'2024-04-14 14:33:30.474,760,333.5,0,1,0
'1713069210492,'2024-04-14 14:33:30.492,760,333.5,0,1,0
'1713069210508,'2024-04-14 14:33:30.508,760,333.5,0,1,0
'1713069210526,'2024-04-14 14:33:30.526,760,333.5,0,1,0
'1713069210544,'2024-04-14 14:33:30.544,760,333.5,0,1,0
'1713069210561,'2024-04-14 14:33:30.561,760,333.5,0,1,0
'1713069210587,'2024-04-14 14:33:30.587,760,333.5,0,1,0
'1713069210604,'2024-04-14 14:33:30.604,760,333.5,0,1,0
'1713069210621,'2024-04-14 14:33:30.621,760,333.5,0,1,0
'1713069210630,'2024-04-14 14:33:30.630,760,333.5,0,1,0
'1713069210656,'2024-04-14 14:33:30.656,760,333.5,0,1,0
'1713069210673,'2024-04-14 14:33:30.673,760,333.5,0,1,0
'1713069210699,'2024-04-14 14:33:30.699,760,333.5,0,1,0
'1713069210716,'2024-04-14 14:33:30.716,760,333.5,0,1,0
'1713069210734,'2024-04-14 14:33:30.734,760,333.5,0,1,0
'1713069210750,'2024-04-14 14:33:30.750,760,333.5,0,1,0
'1713069210767,'2024-04-14 14:33:30.767,760,333.5,0,1,0
'1713069210793,'2024-04-14 14:33:30.793,760,333.5,0,1,0
'1713069210811,'2024-04-14 14:33:30.811,760,333.5,0,1,0
'1713069210828,'2024-04-14 14:33:30.828,760,333.5,0,1,0
'1713069210846,'2024-04-14 14:33:30.846,760,333.5,0,1,0
'1713069210872,'2024-04-14 14:33:30.872,760,333.5,0,1,0
'1713069210890,'2024-04-14 14:33:30.890,760,333.5,0,1,0
'1713069210907,'2024-04-14 14:33:30.907,760,333.5,0,1,0
'1713069210924,'2024-04-14 14:33:30.924,760,333.5,0,1,0
'1713069210942,'2024-04-14 14:33:30.942,760,333.5,0,1,0
'1713069210959,'2024-04-14 14:33:30.959,760,333.5,0,1,0
'1713069210976,'2024-04-14 14:33:30.976,760,333.5,0,1,0
'1713069210993,'2024-04-14 14:33:30.993,760,333.5,0,1,0
'1713069211009,'2024-04-14 14:33:31.009,760,333.5,0,1,0
'1713069211026,'2024-04-14 14:33:31.026,760,333.5,0,1,0
'1713069211051,'2024-04-14 14:33:31.051,760,333.5,0,1,0
'1713069211060,'2024-04-14 14:33:31.060,760,333.5,0,1,0
'1713069211085,'2024-04-14 14:33:31.085,760,333.5,0,1,0
'1713069211101,'2024-04-14 14:33:31.101,760,333.5,0,1,0
'1713069211118,'2024-04-14 14:33:31.118,760,333.5,0,1,0
'1713069211135,'2024-04-14 14:33:31.135,760,333.5,0,1,0
'1713069211161,'2024-04-14 14:33:31.161,760,333.5,0,1,0
'1713069211177,'2024-04-14 14:33:31.177,760,333.5,0,1,0
'1713069211186,'2024-04-14 14:33:31.186,760,333.5,0,1,0
'1713069211203,'2024-04-14 14:33:31.203,760,333.5,0,1,0
'1713069211220,'2024-04-14 14:33:31.220,760,333.5,0,1,0
'1713069211239,'2024-04-14 14:33:31.239,760,333.5,0,1,0
'1713069211257,'2024-04-14 14:33:31.257,760,333.5,0,1,0
'1713069211267,'2024-04-14 14:33:31.267,760,333.5,0,1,0
'1713069211284,'2024-04-14 14:33:31.284,760,333.5,0,1,0
'1713069211301,'2024-04-14 14:33:31.301,760,333.5,0,1,0
'1713069211318,'2024-04-14 14:33:31.318,760,333.5,0,1,0
'1713069211328,'2024-04-14 14:33:31.328,760,333.5,0,1,0
'1713069211346,'2024-04-14 14:33:31.346,760,333.5,0,1,0
'1713069211355,'2024-04-14 14:33:31.355,760,333.5,0,1,0
'1713069211372,'2024-04-14 14:33:31.372,760,333.5,0,1,0
'1713069211388,'2024-04-14 14:33:31.388,760,333.5,0,1,0
'1713069211397,'2024-04-14 14:33:31.397,760,333.5,0,1,0
'1713069211406,'2024-04-14 14:33:31.406,760,333.5,0,1,0
'1713069211515,'2024-04-14 14:33:31.515,760,333.5,0,1,0
'1713069211532,'2024-04-14 14:33:31.532,760,333.5,0,1,0
'1713069211541,'2024-04-14 14:33:31.541,760,333.5,0,1,0
'1713069211557,'2024-04-14 14:33:31.557,760,333.5,0,1,0
'1713069211575,'2024-04-14 14:33:31.575,760,333.5,0,1,0
'1713069211592,'2024-04-14 14:33:31.592,760,333.5,0,1,0
'1713069211617,'2024-04-14 14:33:31.617,760,333.5,0,1,0
'1713069211650,'2024-04-14 14:33:31.650,760,333.5,0,1,0
'1713069211667,'2024-04-14 14:33:31.667,760,333.5,0,1,0
'1713069211676,'2024-04-14 14:33:31.676,760,333.5,0,1,0
'1713069211693,'2024-04-14 14:33:31.693,760,333.5,0,1,0
'1713069211718,'2024-04-14 14:33:31.718,760,333.5,0,1,0
