Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1713069521171,'2024-04-14 14:38:41.171,760,333.5,0,1,0
'1713069522192,'2024-04-14 14:38:42.192,760,333.5,0,1,0
'1713069522270,'2024-04-14 14:38:42.270,760,333.5,0,1,0
'1713069522288,'2024-04-14 14:38:42.288,760,333.5,0,1,0
'1713069522304,'2024-04-14 14:38:42.304,760,333.5,0,1,0
'1713069522314,'2024-04-14 14:38:42.314,760,333.5,0,1,0
'1713069522331,'2024-04-14 14:38:42.331,760,333.5,0,1,0
'1713069522357,'2024-04-14 14:38:42.357,760,333.5,0,1,0
'1713069522365,'2024-04-14 14:38:42.365,760,333.5,0,1,0
'1713069522382,'2024-04-14 14:38:42.382,760,333.5,0,1,0
'1713069522407,'2024-04-14 14:38:42.407,760,333.5,0,1,0
'1713069522442,'2024-04-14 14:38:42.442,760,333.5,0,1,0
'1713069522450,'2024-04-14 14:38:42.450,760,333.5,0,1,0
'1713069522459,'2024-04-14 14:38:42.459,760,333.5,0,1,0
'1713069522475,'2024-04-14 14:38:42.475,760,333.5,0,1,0
'1713069522493,'2024-04-14 14:38:42.493,760,333.5,0,1,0
'1713069522509,'2024-04-14 14:38:42.509,760,333.5,0,1,0
'1713069522526,'2024-04-14 14:38:42.526,760,333.5,0,1,0
'1713069522535,'2024-04-14 14:38:42.535,760,333.5,0,1,0
'1713069522553,'2024-04-14 14:38:42.553,760,333.5,0,1,0
'1713069522588,'2024-04-14 14:38:42.588,760,333.5,0,1,0
'1713069522596,'2024-04-14 14:38:42.596,760,333.5,0,1,0
'1713069522613,'2024-04-14 14:38:42.613,760,333.5,0,1,0
'1713069522639,'2024-04-14 14:38:42.639,760,333.5,0,1,0
'1713069522656,'2024-04-14 14:38:42.656,760,333.5,0,1,0
'1713069522681,'2024-04-14 14:38:42.681,760,333.5,0,1,0
'1713069522699,'2024-04-14 14:38:42.699,760,333.5,0,1,0
'1713069522716,'2024-04-14 14:38:42.716,760,333.5,0,1,0
'1713069522740,'2024-04-14 14:38:42.740,760,333.5,0,1,0
'1713069522757,'2024-04-14 14:38:42.757,760,333.5,0,1,0
'1713069522773,'2024-04-14 14:38:42.773,760,333.5,0,1,0
'1713069522799,'2024-04-14 14:38:42.799,760,333.5,0,1,0
'1713069522816,'2024-04-14 14:38:42.816,760,333.5,0,1,0
'1713069522834,'2024-04-14 14:38:42.834,760,333.5,0,1,0
'1713069522851,'2024-04-14 14:38:42.851,760,333.5,0,1,0
'1713069522868,'2024-04-14 14:38:42.868,760,333.5,0,1,0
