Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1713069370079,'2024-04-14 14:36:10.079,760,333.5,0,1,0
'1713069371119,'2024-04-14 14:36:11.119,760,333.5,0,1,0
'1713069371153,'2024-04-14 14:36:11.153,760,333.5,0,1,0
'1713069371196,'2024-04-14 14:36:11.196,760,333.5,0,1,0
'1713069371204,'2024-04-14 14:36:11.204,760,333.5,0,1,0
'1713069371222,'2024-04-14 14:36:11.222,760,333.5,0,1,0
'1713069371238,'2024-04-14 14:36:11.238,760,333.5,0,1,0
'1713069371272,'2024-04-14 14:36:11.272,760,333.5,0,1,0
'1713069371289,'2024-04-14 14:36:11.289,760,333.5,0,1,0
'1713069371307,'2024-04-14 14:36:11.307,760,333.5,0,1,0
'1713069371325,'2024-04-14 14:36:11.325,760,333.5,0,1,0
'1713069371342,'2024-04-14 14:36:11.342,760,333.5,0,1,0
'1713069371376,'2024-04-14 14:36:11.376,760,333.5,0,1,0
'1713069371393,'2024-04-14 14:36:11.393,760,333.5,0,1,0
'1713069371419,'2024-04-14 14:36:11.419,760,333.5,0,1,0
'1713069371444,'2024-04-14 14:36:11.444,760,333.5,0,1,0
'1713069371469,'2024-04-14 14:36:11.469,760,333.5,0,1,0
'1713069371486,'2024-04-14 14:36:11.486,760,333.5,0,1,0
'1713069371512,'2024-04-14 14:36:11.512,760,333.5,0,1,0
'1713069371529,'2024-04-14 14:36:11.529,760,333.5,0,1,0
'1713069371545,'2024-04-14 14:36:11.545,760,333.5,0,1,0
'1713069371570,'2024-04-14 14:36:11.570,760,333.5,0,1,0
'1713069371579,'2024-04-14 14:36:11.579,760,333.5,0,1,0
'1713069371597,'2024-04-14 14:36:11.597,760,333.5,0,1,0
'1713069371614,'2024-04-14 14:36:11.614,760,333.5,0,1,0
'1713069371632,'2024-04-14 14:36:11.632,760,333.5,0,1,0
'1713069371657,'2024-04-14 14:36:11.657,760,333.5,0,1,0
'1713069371675,'2024-04-14 14:36:11.675,760,333.5,0,1,0
