Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1713069165113,'2024-04-14 14:32:45.113,760,333.5,0,1,0
'1713069166468,'2024-04-14 14:32:46.468,760,333.5,0,1,0
'1713069166527,'2024-04-14 14:32:46.527,760,333.5,0,1,0
'1713069166536,'2024-04-14 14:32:46.536,760,333.5,0,1,0
'1713069166554,'2024-04-14 14:32:46.554,760,333.5,0,1,0
'1713069166572,'2024-04-14 14:32:46.572,760,333.5,0,1,0
'1713069166589,'2024-04-14 14:32:46.589,760,333.5,0,1,0
'1713069166607,'2024-04-14 14:32:46.607,760,333.5,0,1,0
'1713069166616,'2024-04-14 14:32:46.616,760,333.5,0,1,0
'1713069166633,'2024-04-14 14:32:46.633,760,333.5,0,1,0
'1713069166650,'2024-04-14 14:32:46.650,760,333.5,0,1,0
'1713069166668,'2024-04-14 14:32:46.668,760,333.5,0,1,0
'1713069166685,'2024-04-14 14:32:46.685,760,333.5,0,1,0
'1713069166701,'2024-04-14 14:32:46.701,760,333.5,0,1,0
'1713069166726,'2024-04-14 14:32:46.726,760,333.5,0,1,0
'1713069166744,'2024-04-14 14:32:46.744,760,333.5,0,1,0
'1713069166752,'2024-04-14 14:32:46.752,760,333.5,0,1,0
'1713069166777,'2024-04-14 14:32:46.777,760,333.5,0,1,0
'1713069166793,'2024-04-14 14:32:46.793,760,333.5,0,1,0
'1713069166819,'2024-04-14 14:32:46.819,760,333.5,0,1,0
'1713069166837,'2024-04-14 14:32:46.837,760,333.5,0,1,0
'1713069166846,'2024-04-14 14:32:46.846,760,333.5,0,1,0
'1713069166871,'2024-04-14 14:32:46.871,760,333.5,0,1,0
'1713069166888,'2024-04-14 14:32:46.888,760,333.5,0,1,0
'1713069166905,'2024-04-14 14:32:46.905,760,333.5,0,1,0
'1713069166914,'2024-04-14 14:32:46.914,760,333.5,0,1,0
'1713069166940,'2024-04-14 14:32:46.940,760,333.5,0,1,0
'1713069166957,'2024-04-14 14:32:46.957,760,333.5,0,1,0
'1713069166974,'2024-04-14 14:32:46.974,760,333.5,0,1,0
'1713069166990,'2024-04-14 14:32:46.990,760,333.5,0,1,0
'1713069167007,'2024-04-14 14:32:47.007,760,333.5,0,1,0
'1713069167025,'2024-04-14 14:32:47.025,760,333.5,0,1,0
'1713069167042,'2024-04-14 14:32:47.042,760,333.5,0,1,0
'1713069167050,'2024-04-14 14:32:47.050,760,333.5,0,1,0
'1713069167077,'2024-04-14 14:32:47.077,760,333.5,0,1,0
'1713069167085,'2024-04-14 14:32:47.085,760,333.5,0,1,0
'1713069167110,'2024-04-14 14:32:47.110,760,333.5,0,1,0
'1713069167135,'2024-04-14 14:32:47.135,760,333.5,0,1,0
'1713069167194,'2024-04-14 14:32:47.194,760,333.5,0,1,0
'1713069167203,'2024-04-14 14:32:47.203,760,333.5,0,1,0
'1713069167220,'2024-04-14 14:32:47.220,760,333.5,0,1,0
'1713069167237,'2024-04-14 14:32:47.237,760,333.5,0,1,0
'1713069167262,'2024-04-14 14:32:47.262,760,333.5,0,1,0
'1713069167279,'2024-04-14 14:32:47.279,760,333.5,0,1,0
'1713069167305,'2024-04-14 14:32:47.305,760,333.5,0,1,0
'1713069167313,'2024-04-14 14:32:47.313,760,333.5,0,1,0
'1713069167330,'2024-04-14 14:32:47.330,760,333.5,0,1,0
'1713069167346,'2024-04-14 14:32:47.346,760,333.5,0,1,0
'1713069167370,'2024-04-14 14:32:47.370,760,333.5,0,1,0
'1713069167388,'2024-04-14 14:32:47.388,760,333.5,0,1,0
'1713069167396,'2024-04-14 14:32:47.396,760,333.5,0,1,0
'1713069167413,'2024-04-14 14:32:47.413,760,333.5,0,1,0
'1713069167422,'2024-04-14 14:32:47.422,760,333.5,0,1,0
'1713069167448,'2024-04-14 14:32:47.448,760,333.5,0,1,0
'1713069167457,'2024-04-14 14:32:47.457,760,333.5,0,1,0
'1713069167474,'2024-04-14 14:32:47.474,760,333.5,0,1,0
'1713069167491,'2024-04-14 14:32:47.491,760,333.5,0,1,0
'1713069167508,'2024-04-14 14:32:47.508,760,333.5,0,1,0
'1713069167525,'2024-04-14 14:32:47.525,760,333.5,0,1,0
'1713069167541,'2024-04-14 14:32:47.541,760,333.5,0,1,0
'1713069167558,'2024-04-14 14:32:47.558,760,333.5,0,1,0
'1713069167583,'2024-04-14 14:32:47.583,760,333.5,0,1,0
'1713069167592,'2024-04-14 14:32:47.592,760,333.5,0,1,0
'1713069167617,'2024-04-14 14:32:47.617,760,333.5,0,1,0
'1713069167634,'2024-04-14 14:32:47.634,760,333.5,0,1,0
'1713069167651,'2024-04-14 14:32:47.651,760,333.5,0,1,0
