Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1713069603679,'2024-04-14 14:40:03.679,760,333.5,0,1,0
'1713069605083,'2024-04-14 14:40:05.083,760,333.5,0,1,0
'1713069605169,'2024-04-14 14:40:05.169,760,333.5,0,1,0
'1713069605187,'2024-04-14 14:40:05.187,760,333.5,0,1,0
'1713069605204,'2024-04-14 14:40:05.204,760,333.5,0,1,0
'1713069605213,'2024-04-14 14:40:05.213,760,333.5,0,1,0
'1713069605239,'2024-04-14 14:40:05.239,760,333.5,0,1,0
'1713069605255,'2024-04-14 14:40:05.255,760,333.5,0,1,0
'1713069605281,'2024-04-14 14:40:05.281,760,333.5,0,1,0
'1713069605306,'2024-04-14 14:40:05.306,760,333.5,0,1,0
'1713069605331,'2024-04-14 14:40:05.331,760,333.5,0,1,0
'1713069605347,'2024-04-14 14:40:05.347,760,333.5,0,1,0
'1713069605382,'2024-04-14 14:40:05.382,760,333.5,0,1,0
'1713069605457,'2024-04-14 14:40:05.457,760,333.5,0,1,0
'1713069605482,'2024-04-14 14:40:05.482,760,333.5,0,1,0
'1713069605515,'2024-04-14 14:40:05.515,760,333.5,0,1,0
'1713069605542,'2024-04-14 14:40:05.542,760,333.5,0,1,0
'1713069605560,'2024-04-14 14:40:05.560,760,333.5,0,1,0
'1713069605585,'2024-04-14 14:40:05.585,760,333.5,0,1,0
'1713069605610,'2024-04-14 14:40:05.610,760,333.5,0,1,0
'1713069605636,'2024-04-14 14:40:05.636,760,333.5,0,1,0
'1713069605653,'2024-04-14 14:40:05.653,760,333.5,0,1,0
'1713069605678,'2024-04-14 14:40:05.678,760,333.5,0,1,0
'1713069605695,'2024-04-14 14:40:05.695,760,333.5,0,1,0
'1713069605712,'2024-04-14 14:40:05.712,760,333.5,0,1,0
'1713069605738,'2024-04-14 14:40:05.738,760,333.5,0,1,0
'1713069605763,'2024-04-14 14:40:05.763,760,333.5,0,1,0
'1713069605781,'2024-04-14 14:40:05.781,760,333.5,0,1,0
'1713069605807,'2024-04-14 14:40:05.807,760,333.5,0,1,0
'1713069605823,'2024-04-14 14:40:05.823,760,333.5,0,1,0
'1713069605840,'2024-04-14 14:40:05.840,760,333.5,0,1,0
'1713069605867,'2024-04-14 14:40:05.867,760,333.5,0,1,0
'1713069605884,'2024-04-14 14:40:05.884,760,333.5,0,1,0
'1713069605901,'2024-04-14 14:40:05.901,760,333.5,0,1,0
'1713069605926,'2024-04-14 14:40:05.926,760,333.5,0,1,0
'1713069605943,'2024-04-14 14:40:05.943,760,333.5,0,1,0
'1713069605968,'2024-04-14 14:40:05.968,760,333.5,0,1,0
'1713069605985,'2024-04-14 14:40:05.985,760,333.5,0,1,0
'1713069606036,'2024-04-14 14:40:06.036,760,333.5,0,1,0
'1713069606063,'2024-04-14 14:40:06.063,760,333.5,0,1,0
'1713069606087,'2024-04-14 14:40:06.087,760,333.5,0,1,0
'1713069606105,'2024-04-14 14:40:06.105,760,333.5,0,1,0
'1713069606140,'2024-04-14 14:40:06.140,760,333.5,0,1,0
'1713069606158,'2024-04-14 14:40:06.158,760,333.5,0,1,0
'1713069606183,'2024-04-14 14:40:06.183,760,333.5,0,1,0
'1713069606208,'2024-04-14 14:40:06.208,760,333.5,0,1,0
'1713069606234,'2024-04-14 14:40:06.234,760,333.5,0,1,0
'1713069606251,'2024-04-14 14:40:06.251,760,333.5,0,1,0
'1713069606276,'2024-04-14 14:40:06.276,760,333.5,0,1,0
'1713069606302,'2024-04-14 14:40:06.302,760,333.5,0,1,0
'1713069606319,'2024-04-14 14:40:06.319,760,333.5,0,1,0
'1713069606345,'2024-04-14 14:40:06.345,760,333.5,0,1,0
'1713069606412,'2024-04-14 14:40:06.412,760,333.5,0,1,0
