Timestamp UNIX,Timestamp Unity, X,Y 
1712461698706,2024-04-07 03:48:18.706,0,1001.5
1712461698721,2024-04-07 03:48:18.721,0,1001.5
1712461698729,2024-04-07 03:48:18.729,0,1001.5
1712461698737,2024-04-07 03:48:18.737,0,1001.5
1712461698746,2024-04-07 03:48:18.746,0,1001.5
1712461698754,2024-04-07 03:48:18.754,0,1001.5
1712461698763,2024-04-07 03:48:18.763,0,1001.5
1712461698772,2024-04-07 03:48:18.772,0,1001.5
1712461698780,2024-04-07 03:48:18.780,0,1001.5
1712461698789,2024-04-07 03:48:18.789,0,1001.5
1712461698797,2024-04-07 03:48:18.797,0,1001.5
1712461698806,2024-04-07 03:48:18.806,0,1001.5
1712461698815,2024-04-07 03:48:18.815,0,1001.5
1712461698823,2024-04-07 03:48:18.823,0,1001.5
1712461698831,2024-04-07 03:48:18.831,0,1001.5
1712461698840,2024-04-07 03:48:18.840,0,1001.5
1712461698849,2024-04-07 03:48:18.849,0,1001.5
1712461698858,2024-04-07 03:48:18.858,0,1001.5
1712461698867,2024-04-07 03:48:18.867,0,1001.5
1712461698875,2024-04-07 03:48:18.875,0,1001.5
1712461698884,2024-04-07 03:48:18.884,0,1001.5
1712461698892,2024-04-07 03:48:18.892,0,1001.5
1712461698900,2024-04-07 03:48:18.900,0,1001.5
1712461698909,2024-04-07 03:48:18.909,0,1001.5
1712461698917,2024-04-07 03:48:18.917,0,1001.5
1712461698926,2024-04-07 03:48:18.926,0,1001.5
1712461698935,2024-04-07 03:48:18.935,0,1001.5
1712461698945,2024-04-07 03:48:18.945,0,1001.5
1712461698953,2024-04-07 03:48:18.953,0,1001.5
1712461698961,2024-04-07 03:48:18.961,0,1001.5
1712461698969,2024-04-07 03:48:18.969,0,1001.5
1712461698977,2024-04-07 03:48:18.977,0,1001.5
1712461698986,2024-04-07 03:48:18.986,0,1001.5
1712461698994,2024-04-07 03:48:18.994,0,1001.5
1712461699002,2024-04-07 03:48:19.002,0,1001.5
1712461699010,2024-04-07 03:48:19.010,0,1001.5
1712461699019,2024-04-07 03:48:19.019,0,1001.5
1712461699027,2024-04-07 03:48:19.027,0,1001.5
1712461699036,2024-04-07 03:48:19.036,0,1001.5
1712461699044,2024-04-07 03:48:19.044,0,1001.5
1712461699052,2024-04-07 03:48:19.052,0,1001.5
1712461699061,2024-04-07 03:48:19.061,0,1001.5
1712461699069,2024-04-07 03:48:19.069,0,1001.5
1712461699078,2024-04-07 03:48:19.078,0,1001.5
1712461699087,2024-04-07 03:48:19.087,0,1001.5
1712461699095,2024-04-07 03:48:19.095,0,1001.5
1712461699104,2024-04-07 03:48:19.104,0,1001.5
1712461699113,2024-04-07 03:48:19.113,0,1001.5
1712461699121,2024-04-07 03:48:19.121,0,1001.5
1712461699129,2024-04-07 03:48:19.129,0,1001.5
1712461699138,2024-04-07 03:48:19.138,0,1001.5
1712461699146,2024-04-07 03:48:19.146,0,1001.5
1712461699155,2024-04-07 03:48:19.155,0,1001.5
1712461699163,2024-04-07 03:48:19.163,0,1001.5
1712461699172,2024-04-07 03:48:19.172,0,1001.5
1712461699180,2024-04-07 03:48:19.180,0,1001.5
1712461699188,2024-04-07 03:48:19.188,0,1001.5
1712461699197,2024-04-07 03:48:19.197,0,1001.5
1712461699205,2024-04-07 03:48:19.205,0,1001.5
1712461699214,2024-04-07 03:48:19.214,0,1001.5
1712461699223,2024-04-07 03:48:19.223,0,1001.5
1712461699231,2024-04-07 03:48:19.231,0,1001.5
1712461699239,2024-04-07 03:48:19.239,0,1001.5
1712461699248,2024-04-07 03:48:19.248,0,1001.5
1712461699256,2024-04-07 03:48:19.256,0,1001.5
1712461699264,2024-04-07 03:48:19.264,0,1001.5
1712461699272,2024-04-07 03:48:19.272,0,1001.5
1712461699280,2024-04-07 03:48:19.280,0,1001.5
1712461699288,2024-04-07 03:48:19.288,0,1001.5
1712461699297,2024-04-07 03:48:19.297,0,1001.5
1712461699305,2024-04-07 03:48:19.305,0,1001.5
1712461699313,2024-04-07 03:48:19.313,0,1001.5
1712461699321,2024-04-07 03:48:19.321,0,1001.5
1712461699329,2024-04-07 03:48:19.329,0,1001.5
1712461699337,2024-04-07 03:48:19.337,0,1001.5
1712461699345,2024-04-07 03:48:19.345,0,1001.5
1712461699354,2024-04-07 03:48:19.354,0,1001.5
1712461699362,2024-04-07 03:48:19.362,0,1001.5
1712461699371,2024-04-07 03:48:19.371,0,1001.5
1712461699379,2024-04-07 03:48:19.379,0,1001.5
1712461699388,2024-04-07 03:48:19.388,0,1001.5
1712461699396,2024-04-07 03:48:19.396,0,1001.5
1712461699405,2024-04-07 03:48:19.405,0,1001.5
1712461699413,2024-04-07 03:48:19.413,0,1001.5
1712461699422,2024-04-07 03:48:19.422,0,1001.5
1712461699430,2024-04-07 03:48:19.430,0,1001.5
1712461699438,2024-04-07 03:48:19.438,0,1001.5
1712461699446,2024-04-07 03:48:19.446,0,1001.5
1712461699455,2024-04-07 03:48:19.455,0,1001.5
1712461699464,2024-04-07 03:48:19.464,0,1001.5
1712461699473,2024-04-07 03:48:19.473,0,1001.5
1712461699481,2024-04-07 03:48:19.481,0,1001.5
1712461699490,2024-04-07 03:48:19.490,0,1001.5
1712461699498,2024-04-07 03:48:19.498,0,1001.5
1712461699507,2024-04-07 03:48:19.507,0,1001.5
1712461699516,2024-04-07 03:48:19.516,0,1001.5
1712461699524,2024-04-07 03:48:19.524,0,1001.5
1712461699532,2024-04-07 03:48:19.532,0,1001.5
1712461699541,2024-04-07 03:48:19.541,0,1001.5
1712461699549,2024-04-07 03:48:19.549,0,1001.5
1712461699558,2024-04-07 03:48:19.558,0,1001.5
1712461699567,2024-04-07 03:48:19.567,0,1001.5
1712461699577,2024-04-07 03:48:19.577,0,1001.5
1712461699585,2024-04-07 03:48:19.585,0,1001.5
1712461699593,2024-04-07 03:48:19.593,0,1001.5
1712461699601,2024-04-07 03:48:19.601,0,1001.5
1712461699609,2024-04-07 03:48:19.609,0,1001.5
1712461699618,2024-04-07 03:48:19.618,0,1001.5
1712461699627,2024-04-07 03:48:19.627,0,1001.5
1712461699635,2024-04-07 03:48:19.635,0,1001.5
