Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1713069414032,'2024-04-14 14:36:54.032,760,333.5,0,1,0
'1713069415264,'2024-04-14 14:36:55.264,760,333.5,0,1,0
'1713069415307,'2024-04-14 14:36:55.307,760,333.5,0,1,0
'1713069415373,'2024-04-14 14:36:55.373,760,333.5,0,1,0
'1713069415390,'2024-04-14 14:36:55.390,760,333.5,0,1,0
'1713069415398,'2024-04-14 14:36:55.398,760,333.5,0,1,0
'1713069415424,'2024-04-14 14:36:55.424,760,333.5,0,1,0
'1713069415474,'2024-04-14 14:36:55.474,760,333.5,0,1,0
'1713069415499,'2024-04-14 14:36:55.499,760,333.5,0,1,0
'1713069415525,'2024-04-14 14:36:55.525,760,333.5,0,1,0
'1713069415577,'2024-04-14 14:36:55.577,760,333.5,0,1,0
'1713069415611,'2024-04-14 14:36:55.611,760,333.5,0,1,0
'1713069415629,'2024-04-14 14:36:55.629,760,333.5,0,1,0
'1713069415654,'2024-04-14 14:36:55.654,760,333.5,0,1,0
'1713069415688,'2024-04-14 14:36:55.688,760,333.5,0,1,0
'1713069415706,'2024-04-14 14:36:55.706,760,333.5,0,1,0
'1713069415732,'2024-04-14 14:36:55.732,760,333.5,0,1,0
'1713069415759,'2024-04-14 14:36:55.759,760,333.5,0,1,0
'1713069415776,'2024-04-14 14:36:55.776,760,333.5,0,1,0
'1713069415801,'2024-04-14 14:36:55.801,760,333.5,0,1,0
'1713069415827,'2024-04-14 14:36:55.827,760,333.5,0,1,0
'1713069415851,'2024-04-14 14:36:55.851,760,333.5,0,1,0
'1713069415868,'2024-04-14 14:36:55.868,760,333.5,0,1,0
'1713069415885,'2024-04-14 14:36:55.885,760,333.5,0,1,0
'1713069415901,'2024-04-14 14:36:55.901,760,333.5,0,1,0
'1713069415926,'2024-04-14 14:36:55.926,760,333.5,0,1,0
'1713069415942,'2024-04-14 14:36:55.942,760,333.5,0,1,0
'1713069415968,'2024-04-14 14:36:55.968,760,333.5,0,1,0
'1713069415984,'2024-04-14 14:36:55.984,760,333.5,0,1,0
'1713069416009,'2024-04-14 14:36:56.009,760,333.5,0,1,0
'1713069416026,'2024-04-14 14:36:56.026,760,333.5,0,1,0
'1713069416084,'2024-04-14 14:36:56.084,760,333.5,0,1,0
'1713069416092,'2024-04-14 14:36:56.092,760,333.5,0,1,0
'1713069416109,'2024-04-14 14:36:56.109,760,333.5,0,1,0
'1713069416126,'2024-04-14 14:36:56.126,760,333.5,0,1,0
'1713069416142,'2024-04-14 14:36:56.142,760,333.5,0,1,0
'1713069416169,'2024-04-14 14:36:56.169,760,333.5,0,1,0
'1713069416205,'2024-04-14 14:36:56.205,760,333.5,0,1,0
'1713069416237,'2024-04-14 14:36:56.237,760,333.5,0,1,0
'1713069416254,'2024-04-14 14:36:56.254,760,333.5,0,1,0
'1713069416271,'2024-04-14 14:36:56.271,760,333.5,0,1,0
'1713069416296,'2024-04-14 14:36:56.296,760,333.5,0,1,0
'1713069416323,'2024-04-14 14:36:56.323,760,333.5,0,1,0
'1713069416339,'2024-04-14 14:36:56.339,760,333.5,0,1,0
'1713069416366,'2024-04-14 14:36:56.366,760,333.5,0,1,0
'1713069416400,'2024-04-14 14:36:56.400,760,333.5,0,1,0
'1713069416425,'2024-04-14 14:36:56.425,760,333.5,0,1,0
'1713069416443,'2024-04-14 14:36:56.443,760,333.5,0,1,0
'1713069416468,'2024-04-14 14:36:56.468,760,333.5,0,1,0
'1713069416485,'2024-04-14 14:36:56.485,760,333.5,0,1,0
'1713069416511,'2024-04-14 14:36:56.511,760,333.5,0,1,0
'1713069416528,'2024-04-14 14:36:56.528,760,333.5,0,1,0
'1713069416555,'2024-04-14 14:36:56.555,760,333.5,0,1,0
'1713069416572,'2024-04-14 14:36:56.572,760,333.5,0,1,0
'1713069416590,'2024-04-14 14:36:56.590,760,333.5,0,1,0
'1713069416616,'2024-04-14 14:36:56.616,760,333.5,0,1,0
'1713069416633,'2024-04-14 14:36:56.633,760,333.5,0,1,0
'1713069416650,'2024-04-14 14:36:56.650,760,333.5,0,1,0
'1713069416667,'2024-04-14 14:36:56.667,760,333.5,0,1,0
'1713069416693,'2024-04-14 14:36:56.693,760,333.5,0,1,0
'1713069416711,'2024-04-14 14:36:56.711,760,333.5,0,1,0
'1713069416728,'2024-04-14 14:36:56.728,760,333.5,0,1,0
'1713069416753,'2024-04-14 14:36:56.753,760,333.5,0,1,0
'1713069416807,'2024-04-14 14:36:56.807,760,333.5,0,1,0
'1713069416824,'2024-04-14 14:36:56.824,760,333.5,0,1,0
'1713069416857,'2024-04-14 14:36:56.857,760,333.5,0,1,0
'1713069416890,'2024-04-14 14:36:56.890,760,333.5,0,1,0
'1713069416923,'2024-04-14 14:36:56.923,760,333.5,0,1,0
'1713069416940,'2024-04-14 14:36:56.940,760,333.5,0,1,0
'1713069416948,'2024-04-14 14:36:56.948,760,333.5,0,1,0
'1713069416983,'2024-04-14 14:36:56.983,760,333.5,0,1,0
