Timestamp(UTC UNIX),Timestamp (AEST Local), X,Y, Gaze on Left, Gaze on Middle, Gaze on Right
'1713071031358,'2024-04-14 15:03:51.358,760,333.5,0,1,0
'1713071032804,'2024-04-14 15:03:52.804,760,333.5,0,1,0
'1713071032923,'2024-04-14 15:03:52.923,760,333.5,0,1,0
'1713071032931,'2024-04-14 15:03:52.931,760,333.5,0,1,0
'1713071032957,'2024-04-14 15:03:52.957,760,333.5,0,1,0
'1713071032992,'2024-04-14 15:03:52.992,760,333.5,0,1,0
'1713071033008,'2024-04-14 15:03:53.008,760,333.5,0,1,0
'1713071033025,'2024-04-14 15:03:53.025,760,333.5,0,1,0
'1713071033041,'2024-04-14 15:03:53.041,760,333.5,0,1,0
'1713071033058,'2024-04-14 15:03:53.058,760,333.5,0,1,0
'1713071033075,'2024-04-14 15:03:53.075,760,333.5,0,1,0
'1713071033083,'2024-04-14 15:03:53.083,760,333.5,0,1,0
'1713071033108,'2024-04-14 15:03:53.108,760,333.5,0,1,0
'1713071033125,'2024-04-14 15:03:53.125,760,333.5,0,1,0
'1713071033142,'2024-04-14 15:03:53.142,760,333.5,0,1,0
'1713071033167,'2024-04-14 15:03:53.167,760,333.5,0,1,0
'1713071033201,'2024-04-14 15:03:53.201,760,333.5,0,1,0
'1713071033210,'2024-04-14 15:03:53.210,760,333.5,0,1,0
'1713071033227,'2024-04-14 15:03:53.227,760,333.5,0,1,0
'1713071033244,'2024-04-14 15:03:53.244,760,333.5,0,1,0
'1713071033260,'2024-04-14 15:03:53.260,760,333.5,0,1,0
'1713071033278,'2024-04-14 15:03:53.278,760,333.5,0,1,0
'1713071033295,'2024-04-14 15:03:53.295,760,333.5,0,1,0
'1713071033312,'2024-04-14 15:03:53.312,760,333.5,0,1,0
'1713071033337,'2024-04-14 15:03:53.337,760,333.5,0,1,0
'1713071033346,'2024-04-14 15:03:53.346,760,333.5,0,1,0
'1713071033363,'2024-04-14 15:03:53.363,760,333.5,0,1,0
'1713071033397,'2024-04-14 15:03:53.397,760,333.5,0,1,0
'1713071033414,'2024-04-14 15:03:53.414,760,333.5,0,1,0
'1713071033431,'2024-04-14 15:03:53.431,760,333.5,0,1,0
'1713071033448,'2024-04-14 15:03:53.448,760,333.5,0,1,0
'1713071033465,'2024-04-14 15:03:53.465,760,333.5,0,1,0
'1713071033482,'2024-04-14 15:03:53.482,760,333.5,0,1,0
'1713071033499,'2024-04-14 15:03:53.499,760,333.5,0,1,0
'1713071033507,'2024-04-14 15:03:53.507,760,333.5,0,1,0
'1713071033524,'2024-04-14 15:03:53.524,760,333.5,0,1,0
'1713071033541,'2024-04-14 15:03:53.541,760,333.5,0,1,0
'1713071033557,'2024-04-14 15:03:53.557,760,333.5,0,1,0
'1713071033566,'2024-04-14 15:03:53.566,760,333.5,0,1,0
'1713071033599,'2024-04-14 15:03:53.599,760,333.5,0,1,0
'1713071033608,'2024-04-14 15:03:53.608,760,333.5,0,1,0
'1713071033625,'2024-04-14 15:03:53.625,760,333.5,0,1,0
'1713071033642,'2024-04-14 15:03:53.642,760,333.5,0,1,0
'1713071033659,'2024-04-14 15:03:53.659,760,333.5,0,1,0
'1713071033676,'2024-04-14 15:03:53.676,760,333.5,0,1,0
'1713071033684,'2024-04-14 15:03:53.684,760,333.5,0,1,0
'1713071033701,'2024-04-14 15:03:53.701,760,333.5,0,1,0
'1713071033718,'2024-04-14 15:03:53.718,760,333.5,0,1,0
'1713071033735,'2024-04-14 15:03:53.735,760,333.5,0,1,0
'1713071033744,'2024-04-14 15:03:53.744,760,333.5,0,1,0
'1713071033752,'2024-04-14 15:03:53.752,760,333.5,0,1,0
'1713071033769,'2024-04-14 15:03:53.769,760,333.5,0,1,0
'1713071033777,'2024-04-14 15:03:53.777,760,333.5,0,1,0
'1713071033803,'2024-04-14 15:03:53.803,760,333.5,0,1,0
'1713071033811,'2024-04-14 15:03:53.811,760,333.5,0,1,0
'1713071033828,'2024-04-14 15:03:53.828,760,333.5,0,1,0
'1713071033836,'2024-04-14 15:03:53.836,760,333.5,0,1,0
'1713071033845,'2024-04-14 15:03:53.845,760,333.5,0,1,0
'1713071033862,'2024-04-14 15:03:53.862,760,333.5,0,1,0
